ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-198933,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,64/1763,116/9863,0.551724137931035,3.08658829972422,10.5462102496085,1.04108778350659e-19,1.46168724804325e-16,1.34793470917169e-16,LILRB4/FCGR3A/TREM2/HLA-F/ITGB2/CLEC2D/LAIR1/TYROBP/OSCAR/COL1A1/MICB/SLAMF7/FCGR1A/HLA-B/SIGLEC10/ITGAL/HLA-G/LILRB1/ITGA4/CD96/COL1A2/CD8A/CD33/SLAMF6/KLRK1/HLA-C/HLA-A/CD300A/COL3A1/CD247/CLEC2B/CD3D/CD300C/B2M/CD3E/C3/SIGLEC8/CD300LF/JAML/HCST/FCGR2B/LILRB2/CD300LG/CD8B/SIGLEC9/KLRD1/SIGLEC1/SH2D1A/CD40/LAIR2/TREML1/CD200R1/CD3G/TREM1/LILRA2/KIR2DL4/SIGLEC6/LILRA6/CD300LB/CD1D/SIGLEC7/CRTAM/LILRA4/CD40LG,64
R-HSA-373076,Class A/1 (Rhodopsin-like receptors),97/1763,241/9863,0.402489626556017,2.25170458690981,9.17791084344014,1.36264652298899e-16,9.56577859138268e-14,8.82134328040238e-14,NPY1R/ADRA2C/CCL3L3/CXCL12/CHRM4/CXCR4/NPY5R/UTS2/S1PR5/LTB4R/LPAR5/C3AR1/GPR183/CXCR3/PTAFR/CCR5/FPR3/ACKR2/CCL11/CCL4/KISS1R/NPFFR1/XK/CCL5/BDKRB2/CX3CR1/ADORA3/P2RY13/CXCL10/PTGER1/CCL21/ANXA1/NTSR1/KNG1/C3/CXCL9/CCL3/HRH1/AVPR2/CXCL16/NMB/CCL22/SUCNR1/HTR1F/P2RY1/GPR65/OXT/CXCL11/PMCH/P2RY10/BDKRB1/HRH2/SSTR2/AGTR1/S1PR4/CXCR6/CCR4/CCL20/FPR1/OPRL1/SSTR1/AVPR1A/APLN/QRFPR/GPR4/CCR7/XCR1/HTR1D/ACKR3/CCR2/OXGR1/MTNR1A/PLPPR1/ADRB1/GPR17/PTGER3/SAA1/PNOC/GPR37/P2RY12/CCRL2/CYSLTR2/OXER1/LPAR3/GPR55/TACR1/PTGFR/GRPR/XCL2/MCHR1/CCL19/CCL23/HCAR2/AVPR1B/GPHA2/FFAR4/ADRA1A,97
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,17/1763,17/9863,1,5.59444129325014,8.84490957608708,1.82188313008233e-13,8.5264130487853e-11,7.86286403509215e-11,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DPB1/HLA-DRB1/CD247/CD3D/ZAP70/CD3E/CD4/PTPN22/LCK/CD3G,17
R-HSA-500792,GPCR ligand binding,116/1763,345/9863,0.336231884057971,1.88102953628121,7.77129350035311,5.98909428882905e-13,2.102172095379e-10,1.9385752566473e-10,NPY1R/UCN3/PTH1R/ADRA2C/CRHBP/CCL3L3/CXCL12/CHRM4/CXCR4/NPY5R/RAMP1/UTS2/S1PR5/LTB4R/LPAR5/C3AR1/GPR183/CXCR3/PTAFR/CCR5/FPR3/ACKR2/CCL11/CCL4/KISS1R/ADGRE2/NPFFR1/GNG8/XK/CCL5/BDKRB2/CX3CR1/ADORA3/P2RY13/CXCL10/PTGER1/PTHLH/CCL21/ANXA1/NTSR1/KNG1/C3/CASR/GRM8/CXCL9/CCL3/HRH1/AVPR2/CXCL16/NMB/CCL22/SUCNR1/HTR1F/P2RY1/GPR65/OXT/UCN/CXCL11/VIPR2/PMCH/P2RY10/BDKRB1/ADGRE1/HRH2/SSTR2/AGTR1/S1PR4/CXCR6/CCR4/GCGR/CCL20/FPR1/OPRL1/ADM/SSTR1/WNT9B/AVPR1A/APLN/QRFPR/GPR4/CCR7/XCR1/HTR1D/SCTR/ACKR3/WNT10B/CCR2/GRM1/OXGR1/MTNR1A/PLPPR1/ADRB1/GPR17/PTGER3/SAA1/PNOC/GPR37/P2RY12/CCRL2/CYSLTR2/OXER1/LPAR3/GPR55/TACR1/GRM4/PTGFR/GRPR/XCL2/MCHR1/CCL19/CCL23/HCAR2/AVPR1B/GPHA2/FFAR4/ADRA1A,116
R-HSA-375276,Peptide ligand-binding receptors,61/1763,140/9863,0.435714285714286,2.43757799205899,7.99210969796393,1.11256871613468e-12,3.12409295490619e-10,2.88096741230665e-10,NPY1R/CCL3L3/CXCL12/CXCR4/NPY5R/UTS2/C3AR1/CXCR3/CCR5/FPR3/ACKR2/CCL11/CCL4/KISS1R/NPFFR1/XK/CCL5/BDKRB2/CX3CR1/CXCL10/CCL21/ANXA1/NTSR1/KNG1/C3/CXCL9/CCL3/AVPR2/CXCL16/NMB/CCL22/OXT/CXCL11/PMCH/BDKRB1/SSTR2/AGTR1/CXCR6/CCR4/CCL20/FPR1/OPRL1/SSTR1/AVPR1A/APLN/QRFPR/CCR7/XCR1/ACKR3/CCR2/SAA1/PNOC/GPR37/CCRL2/TACR1/GRPR/XCL2/MCHR1/CCL19/CCL23/AVPR1B,61
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,18/1763,20/9863,0.9,5.03499716392513,8.42676019025574,4.25041164785261e-12,9.9459632559751e-10,9.17194092431352e-10,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/PTPRC/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DPB1/HLA-DRB1/CD247/CD3D/CD3E/CD4/PTPN22/PAG1/LCK/CD3G,18
R-HSA-202433,Generation of second messenger molecules,22/1763,32/9863,0.6875,3.84617838910947,7.52323111571582,3.22188810951716e-10,6.46218700823155e-08,5.95928176647534e-08,HLA-DQA1/HLA-DRB5/HLA-DQA2/HLA-DQB1/HLA-DRA/HLA-DQB2/HLA-DPA1/HLA-DPB1/CD101/FYB1/HLA-DRB1/GRAP2/CD247/LCP2/WAS/CD3D/ZAP70/CD3E/CD4/ITK/LCK/CD3G,22
R-HSA-425407,SLC-mediated transmembrane transport,76/1763,221/9863,0.343891402714932,1.92388026374213,6.48028951174675,2.05215759806676e-09,3.60153658460716e-07,3.32125506002909e-07,SLC38A1/SLC2A1/SLC1A4/SLC6A3/SLC1A3/RUNX1/SLC44A4/SLC9A3/LCN12/SLC47A2/SLC39A4/SLC34A1/SLC11A1/SLC22A7/SLC26A4/SLC13A2/SLC13A3/APOD/SLC7A8/SLC7A11/SLC12A3/SLC5A2/SLC6A19/SLC15A4/SLC22A8/SLC22A6/SLC12A1/EMB/SLC29A2/SLC15A3/SLC38A4/SLC36A2/SLC7A9/SLC8A1/SLC30A2/SLC14A1/CP/SLC25A10/SLC22A12/SLC9A4/SLC16A3/SLC38A5/SLC5A11/SLC2A9/SLC22A3/SLC39A5/SLC2A12/SLC4A4/SLC7A10/SLC9A9/SLC4A9/SLC22A1/SLC29A4/SLC34A3/SLC26A7/SLC13A1/SLC7A7/SLC16A10/SLC26A6/SLC6A1/SLC4A1/SLC5A12/SLC26A3/SLC28A2/SLC17A1/SLC9A2/SLC15A1/SLC38A3/SLC22A11/SLC26A9/SLC2A2/SLC5A10/SLC16A7/SLC12A5/SLC6A4/SLC30A8,76
R-HSA-380108,Chemokine receptors bind chemokines,27/1763,50/9863,0.54,3.02099829835508,6.68368842978046,8.19513059216021e-09,1.27844037237699e-06,1.17894861150375e-06,CCL3L3/CXCL12/CXCR4/CXCR3/CCR5/ACKR2/CCL11/CCL4/CCL5/CX3CR1/CXCL10/CCL21/CXCL9/CCL3/CXCL16/CCL22/CXCL11/CXCR6/CCR4/CCL20/CCR7/XCR1/ACKR3/CCR2/CCRL2/XCL2/CCL19,27
R-HSA-1566977,Fibronectin matrix formation,15/1763,19/9863,0.789473684210526,4.41666417888169,6.9543963426096,1.08369611254703e-08,1.52150934201603e-06,1.40310128256089e-06,COL5A2/CEACAM1/COL1A1/COL4A3/COL4A1/COL1A2/FN1/COL5A1/COL3A1/COL4A2/COL4A6/COL4A5/COL4A4/ITGA5/COL5A3,15
R-HSA-8948216,Collagen chain trimerization,24/1763,44/9863,0.545454545454545,3.0515134326819,6.36257945777537,4.29396528963413e-08,5.15958542774873e-06,4.75805223881462e-06,COL5A2/COL28A1/COL8A1/COL1A1/COL4A3/COL4A1/COL1A2/COL6A2/COL15A1/COL5A1/COL6A3/COL3A1/COL23A1/COL4A2/COL8A2/COL4A6/COL26A1/COL4A5/COL4A4/COL9A2/COL5A3/COL19A1/COL21A1/COL11A1,24
R-HSA-418594,G alpha (i) signalling events,82/1763,260/9863,0.315384615384615,1.76440071556351,5.82734110382049,4.40990207499891e-08,5.15958542774873e-06,4.75805223881462e-06,NPY1R/RGS1/ADRA2C/ADCY7/CXCL12/CHRM4/CXCR4/NPY5R/GNA15/RGS10/PRKAR2B/CCL4L2/PLCB4/S1PR5/LPAR5/C3AR1/GPR183/CXCR3/CCR5/FPR3/CCL4/GNG8/CCL5/BDKRB2/CX3CR1/RGS19/PLCB2/ADORA3/P2RY13/CXCL10/CCL21/ANXA1/KNG1/C3/CASR/GRM8/CXCL9/RGS5/CXCL16/PDE1A/SUCNR1/HTR1F/CXCL11/PMCH/RGS6/RGS18/BDKRB1/ADCY2/SSTR2/S1PR4/CXCR6/CCR4/GPSM3/CCL20/FPR1/OPRL1/SSTR1/CAMK2A/APLN/CCR7/HTR1D/ACKR3/PPP1R1B/CCR2/OXGR1/MTNR1A/GPR17/CAMK2B/PTGER3/SAA1/PNOC/GPR37/P2RY12/OXER1/LPAR3/GPR55/GRM4/MCHR1/CCL19/CCL23/HCAR2/RGS7,82
R-HSA-1474228,Degradation of the extracellular matrix,49/1763,130/9863,0.376923076923077,2.10867402591736,5.93633407216441,6.03807454441314e-08,6.31303348741839e-06,5.82173578461885e-06,DCN/MMP14/ACAN/MMP11/COL5A2/CAPN5/COL8A1/BCAN/ADAMTS8/COL1A1/COL4A3/SCUBE1/CD44/MMP16/COL4A1/COL1A2/FN1/COL6A2/COL15A1/TIMP1/CTSS/COL5A1/COL6A3/LAMA3/COL3A1/MMP9/ADAMTS16/PLG/COL23A1/COL4A2/COL8A2/COL4A6/COL26A1/FBN3/COL4A5/COL4A4/COL9A2/COL5A3/COL19A1/CTSV/TPSAB1/CAPN3/KLKB1/KLK7/SCUBE3/CAPN13/ADAMTS4/CAPN8/COL11A1,49
R-HSA-9734767,Developmental Cell Lineages,46/1763,119/9863,0.38655462184874,2.16255713856728,5.95230663730892,6.29504763702689e-08,6.31303348741839e-06,5.82173578461885e-06,DLX5/COL5A2/CXCR4/LAMA4/FGF7/COL1A1/EGF/AQP1/CD44/COL1A2/FN1/GP2/GATA3/MME/CD74/COL5A1/LAMA3/COL3A1/EPCAM/ANXA1/SLC4A4/VIM/CEL/ANXA3/CLDN10/PROM1/COL5A3/CSPG4/FOXA2/EGFR/KRT7/SPINK1/ELF5/AQP3/TGFA/FGF10/SERPINA4/KLK7/MUC1/FABP5/VTN/MYH11/KLK1/CA2/TFAP2A/COL11A1,46
R-HSA-1474290,Collagen formation,37/1763,88/9863,0.420454545454546,2.35220827102563,5.94419005667849,9.77044078814107e-08,9.14513257770005e-06,8.43343310134282e-06,SERPINH1/COL5A2/COL28A1/COL8A1/P4HA1/ADAMTS14/COL1A1/COL4A3/LOXL2/COL4A1/COL1A2/COL6A2/COL15A1/CTSS/COLGALT1/COL5A1/COL6A3/LAMA3/COL3A1/MMP9/LOX/COL23A1/COL4A2/COL8A2/COL4A6/COL26A1/COL4A5/COL4A4/COL9A2/COL5A3/PLOD2/COL19A1/CTSV/PXDN/P4HA3/COL21A1/COL11A1,37
R-HSA-202733,Cell surface interactions at the vascular wall,46/1763,123/9863,0.373983739837398,2.09223007715046,5.68660882630698,1.99729954008381e-07,1.75263034642354e-05,1.6162358120415e-05,CD84/SPN/TEK/ITGB2/ITGAX/CEACAM1/ITGAM/INPP5D/SLC7A8/SELPLG/PROC/SLC7A11/COL1A1/FCER1G/CD2/SELP/CD44/SELE/ITGAL/ATP1B2/ITGA4/COL1A2/FCAMR/FN1/SLC7A9/CD74/TGFB1/SLC16A3/EPCAM/ANGPT2/CD48/SDC3/SLC7A10/SIRPG/JAML/ITGA5/GRB7/GRB14/LCK/SLC7A7/DOK2/TREM1/CD244/CAV1/L1CAM/MAG,46
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,30/1763,67/9863,0.447761194029851,2.50497371339559,5.76644392741637,3.03694364696323e-07,2.36881604463132e-05,2.18446823728934e-05,SERPINH1/COL5A2/COL28A1/COL8A1/P4HA1/ADAMTS14/COL1A1/COL4A3/COL4A1/COL1A2/COL6A2/COL15A1/COLGALT1/COL5A1/COL6A3/COL3A1/COL23A1/COL4A2/COL8A2/COL4A6/COL26A1/COL4A5/COL4A4/COL9A2/COL5A3/PLOD2/COL19A1/P4HA3/COL21A1/COL11A1,30
R-HSA-9820448,Developmental Cell Lineages of the Exocrine Pancreas,30/1763,67/9863,0.447761194029851,2.50497371339559,5.76644392741637,3.03694364696323e-07,2.36881604463132e-05,2.18446823728934e-05,COL5A2/CXCR4/LAMA4/FGF7/COL1A1/EGF/AQP1/COL1A2/FN1/GP2/CD74/COL5A1/LAMA3/COL3A1/ANXA1/SLC4A4/CEL/ANXA3/CLDN10/PROM1/COL5A3/FOXA2/KRT7/SPINK1/FGF10/SERPINA4/VTN/KLK1/CA2/COL11A1,30
R-HSA-1474244,Extracellular matrix organization,89/1763,303/9863,0.293729372937294,1.64325173300087,5.30566076953742,4.38009161041578e-07,3.23665716895987e-05,2.98477156831657e-05,FBLN5/NTN4/MFAP4/VCAN/DCN/MMP14/ACAN/MMP11/SERPINH1/COL5A2/FBLN1/CAPN5/COL28A1/COL8A1/P4HA1/ITGB2/BCAN/LAMA4/ADAMTS8/ITGAX/CEACAM1/ADAMTS14/ITGAM/SPARC/COL1A1/COL4A3/VWF/LOXL2/SCUBE1/CD44/ITGAL/ITGA4/MMP16/COL4A1/COL1A2/FN1/LUM/COL6A2/COL15A1/TIMP1/CTSS/COLGALT1/ADAM19/COL5A1/COL6A3/TGFB1/LAMA3/COL3A1/MMP9/ADAM12/LOX/ADAMTS16/PLG/SDC3/COL23A1/COL4A2/COL8A2/COL4A6/COL26A1/ITGA8/FBN3/COL4A5/SSPN/COL4A4/ITGA5/COL9A2/COL5A3/EMILIN2/PLOD2/COL19A1/ITGAD/CTSV/TPSAB1/BMP7/CAPN3/KLKB1/PXDN/HAPLN1/KLK7/SCUBE3/VTN/ITGB6/P4HA3/CAPN13/COL21A1/SERPINE1/ADAMTS4/CAPN8/COL11A1,89
R-HSA-3000178,ECM proteoglycans,31/1763,74/9863,0.418918918918919,2.34361729852371,5.41238183739622,1.16249592393617e-06,8.16072138603195e-05,7.52563150758682e-05,VCAN/DCN/ACAN/COL5A2/BCAN/LAMA4/ITGAX/SPARC/COL1A1/COL4A3/COL4A1/COL1A2/FN1/LUM/COL6A2/COL5A1/COL6A3/TGFB1/LAMA3/COL3A1/COL4A2/COL4A6/ITGA8/COL4A5/COL4A4/COL9A2/COL5A3/HAPLN1/VTN/ITGB6/SERPINE1,31
