ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0002250,adaptive immune response,154/1156,441/14924,0.349206349206349,4.50826605151865,21.6697603400745,2.24563526736294e-62,1.15605303563844e-58,9.11018770570185e-59,ZNF683/BTN3A2/AICDA/ADCY7/HLA-DQA1/ULBP2/HLA-DRB5/IL20RB/HLA-DQA2/CD84/SPN/HLA-DQB1/EXO1/PRDM1/CD27/FCGR2A/LILRB4/FCGR3A/TREM2/HLA-F/SLC11A1/PTPRC/TAP1/HLA-DRA/IL9R/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/LAIR1/ERAP2/CLEC7A/IL12RB1/BTK/HLA-DOB/HLA-DPB1/PRR7/GPR183/BTN3A1/INPP5D/NOD2/PIK3CG/CD86/BATF/HLA-DMB/CD6/SLC15A4/FCER1G/EBI3/MICB/SLAMF7/BTN3A3/IL2RB/FCGR1A/KLHL6/HLA-B/DUSP10/SIGLEC10/HLA-G/LAMP3/LILRB1/CARD9/MYO1G/CD8A/LGALS9/LGALS1/CTSS/TNFSF13B/SLAMF6/CX3CR1/FCGR2C/HLA-DRB1/KLRK1/PRF1/CD74/HLA-C/SASH3/HLA-A/KLRC4-KLRK1/TGFB1/CD247/ANXA1/WAS/P2RX7/CD3D/B2M/ZAP70/CD3E/C3/IL4I1/LAT2/CD4/HLA-DOA/C1QB/ITK/EOMES/CLEC4A/CD70/C1QA/TLR8/PDCD1/TNFAIP3/IL7R/CD28/CD80/PDCD1LG2/FCGR2B/JAK3/NLRP3/C1QC/PYCARD/LILRB2/LAX1/CSF2RB/SAMSN1/SLA2/CD8B/MPEG1/SIT1/FUT7/THEMIS/KLRD1/ADGRE1/SH2D1A/PAG1/CD40/CRACR2A/TBX21/MCOLN2/LY9/CD3G/TNFRSF1B/FCGR3B/LILRB3/CD7/GZMM/STAT4/FCMR/TREM1/CD244/C1S/HLX/CTLA4/CCR2/LAG3/LILRA6/CD1D/ADA/C2/IRF4/CRTAM/TRAT1/IGLL5/CD40LG,154
GO:0051249,regulation of lymphocyte activation,144/1156,490/14924,0.293877551020408,3.79396935244686,18.2220773306067,1.13126623066779e-47,2.9118792777389e-44,2.29468423841772e-44,MMP14/INHBA/ZNF683/BTN2A2/RUNX1/HLA-DQA1/HLA-DRB5/IL20RB/HLA-DQA2/SPN/HLA-DQB1/PRDM1/CD27/LAPTM5/LILRB4/FCGR3A/CDKN2A/RAC2/PTPRC/CARD11/HLA-DRA/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/TYROBP/CLEC7A/IL12RB1/BTK/HLA-DOB/HLA-DPB1/CD276/GPR183/RASSF5/RUNX3/INPP5D/NOD2/CD5/FCHO1/CD86/BATF/HLA-DMB/CD6/SLC15A4/EBI3/CD2/RASAL3/TNFRSF9/DUSP10/HLA-G/LILRB1/CCL5/TNFRSF4/VAV1/RHOH/LGALS9/IKZF3/CD37/LGALS1/CD38/TNFSF13B/PIK3R6/SPI1/TBC1D10C/HLA-DRB1/KLRK1/CD74/SASH3/HLA-A/MNDA/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/B2M/CGAS/ZAP70/CD3E/NFAM1/IL4I1/THEMIS2/CD4/LST1/CCDC88B/HLA-DOA/IDO1/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFAIP3/SLAMF8/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/FCGR2B/JAK3/NLRP3/GPNMB/AXL/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SAMSN1/CLEC12A/SIRPB1/SIT1/TESPA1/TSPAN32/TNFSF9/KLRD1/MDK/NRARP/PAG1/CD40/TBX21/LCK/TNFRSF1B/FCRL3/VSIG4/CCR7/HLX/CTLA4/WNT10B/CCR2/ICOS/LAG3/CAV1/CD1D/ADA/SOX11/IRF4/CRTAM/PLA2G2D/CD40LG,144
GO:0050863,regulation of T cell activation,115/1156,372/14924,0.309139784946237,3.99100532053429,16.9277357304573,2.07823786223445e-40,2.68394917790443e-37,2.11506566303596e-37,ZNF683/BTN2A2/RUNX1/HLA-DQA1/HLA-DRB5/IL20RB/HLA-DQA2/SPN/HLA-DQB1/PRDM1/CD27/LAPTM5/LILRB4/CDKN2A/RAC2/PTPRC/CARD11/HLA-DRA/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CD276/RUNX3/NOD2/CD5/FCHO1/CD86/BATF/HLA-DMB/CD6/EBI3/CD2/RASAL3/TNFRSF9/DUSP10/HLA-G/LILRB1/CCL5/VAV1/RHOH/LGALS9/CD37/LGALS1/TNFSF13B/PIK3R6/HLA-DRB1/KLRK1/CD74/SASH3/HLA-A/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/B2M/CGAS/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/IDO1/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/JAK3/NLRP3/GPNMB/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SIRPB1/SIT1/TESPA1/TSPAN32/TNFSF9/MDK/NRARP/PAG1/TBX21/LCK/TNFRSF1B/VSIG4/CCR7/HLX/CTLA4/WNT10B/CCR2/ICOS/LAG3/CAV1/CD1D/ADA/IRF4/CRTAM/PLA2G2D/CD40LG,115
GO:0002443,leukocyte mediated immunity,117/1156,384/14924,0.3046875,3.93352616782007,16.8750447578349,2.08543059666234e-40,2.68394917790443e-37,2.11506566303596e-37,BTN3A2/AICDA/ULBP2/IL20RB/CD84/SPN/EXO1/CD27/FCGR2A/LILRB4/FCGR3A/TREM2/HLA-F/RAC2/PTPRC/ITGB2/HLA-DRA/CORO1A/IL9R/NCKAP1L/FOXP3/TYROBP/CLEC7A/IL12RB1/BTK/ITGAM/INPP5D/NOD2/PIK3CG/BATF/SERPINB9/SLC15A4/FCER1G/CD2/SLAMF7/BTN3A3/IL2RB/FCGR1A/MILR1/HLA-B/ADGRE2/HLA-G/LILRB1/CARD9/CD96/MYO1G/CD8A/VAV1/LGALS9/GZMB/SLAMF6/PIK3R6/CX3CR1/NKG7/FCGR2C/SPI1/HLA-DRB1/KLRK1/PRF1/CD74/HLA-C/SASH3/HLA-A/CD300A/KLRC4-KLRK1/TGFB1/NCF1/WAS/P2RX7/B2M/C3/IL4I1/LAT2/ARRB2/C1QB/CCL3/CD70/C1QA/TLR8/PDCD1/CALHM6/IL7R/CD28/HCST/CD80/FCGR2B/JAK3/NLRP3/C1QC/CSF2RB/SLA2/FUT7/KLRD1/SH2D1A/CD40/TBX21/TNFRSF1B/FCGR3B/CD7/GZMM/FCMR/TREM1/C1S/PRAM1/TLR3/KIR2DL4/CCR2/RASGRP4/LAG3/CD1D/C2/CRTAM/GPR15LG/CLEC12B/IGLL5/CD40LG/CPLX2,117
GO:0007159,leukocyte cell-cell adhesion,116/1156,400/14924,0.29,3.74391003460208,16.1186364982549,9.96099845047476e-38,1.02558440046088e-34,8.08203958486942e-35,BTN2A2/RUNX1/HLA-DQA1/HLA-DRB5/IL20RB/HLA-DQA2/SPN/HLA-DQB1/CD27/LAPTM5/LILRB4/CDKN2A/RAC2/PTPRC/ITGB2/CARD11/HLA-DRA/CORO1A/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CD276/RUNX3/NOD2/CD5/SELPLG/FCHO1/CD86/HLA-DMB/CD6/EBI3/RASAL3/ALOX5/DUSP10/CD44/ITGAL/HLA-G/LILRB1/ITGA4/CCL5/VAV1/RHOH/LGALS9/CD37/LGALS1/TNFSF13B/PIK3R6/CX3CR1/HLA-DRB1/KLRK1/CD74/SASH3/HLA-A/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/FERMT3/B2M/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/IDO1/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/JAK3/NLRP3/GPNMB/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SIRPB1/FUT7/TESPA1/TSPAN32/TNFSF9/ITGA5/MDK/NRARP/PAG1/TBX21/LCK/VSIG4/CCR7/HLX/CTLA4/WNT10B/CCR2/ICOS/LAG3/CAV1/CD1D/ADA/ADD2/CRTAM/PLA2G2D/CD40LG,116
GO:1903037,regulation of leukocyte cell-cell adhesion,109/1156,363/14924,0.300275482093664,3.87656686398429,16.0769530261879,5.28088927775625e-37,4.53100300031486e-34,3.57062232920572e-34,BTN2A2/RUNX1/HLA-DQA1/HLA-DRB5/IL20RB/HLA-DQA2/SPN/HLA-DQB1/CD27/LAPTM5/LILRB4/CDKN2A/PTPRC/ITGB2/CARD11/HLA-DRA/CORO1A/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CD276/RUNX3/NOD2/CD5/FCHO1/CD86/HLA-DMB/CD6/EBI3/RASAL3/ALOX5/DUSP10/CD44/HLA-G/LILRB1/ITGA4/CCL5/VAV1/RHOH/LGALS9/CD37/LGALS1/TNFSF13B/PIK3R6/HLA-DRB1/KLRK1/CD74/SASH3/HLA-A/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/B2M/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/IDO1/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/JAK3/NLRP3/GPNMB/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SIRPB1/FUT7/TESPA1/TSPAN32/TNFSF9/MDK/NRARP/PAG1/TBX21/LCK/VSIG4/CCR7/HLX/CTLA4/WNT10B/CCR2/ICOS/LAG3/CAV1/CD1D/ADA/CRTAM/PLA2G2D/CD40LG,109
GO:0002449,lymphocyte mediated immunity,96/1156,293/14924,0.327645051194539,4.22990894812051,16.1792595671719,3.85984448981697e-36,2.83863991908253e-33,2.23696852086535e-33,BTN3A2/AICDA/ULBP2/IL20RB/SPN/EXO1/CD27/FCGR2A/LILRB4/FCGR3A/TREM2/HLA-F/PTPRC/HLA-DRA/CORO1A/IL9R/NCKAP1L/FOXP3/TYROBP/IL12RB1/BTK/INPP5D/BATF/SERPINB9/SLC15A4/FCER1G/CD2/SLAMF7/BTN3A3/IL2RB/FCGR1A/HLA-B/HLA-G/LILRB1/CARD9/CD96/MYO1G/CD8A/VAV1/LGALS9/GZMB/SLAMF6/PIK3R6/NKG7/FCGR2C/HLA-DRB1/KLRK1/PRF1/CD74/HLA-C/SASH3/HLA-A/KLRC4-KLRK1/TGFB1/WAS/P2RX7/B2M/C3/IL4I1/ARRB2/C1QB/CD70/C1QA/TLR8/PDCD1/CALHM6/IL7R/CD28/HCST/CD80/FCGR2B/NLRP3/C1QC/CSF2RB/SLA2/FUT7/KLRD1/SH2D1A/CD40/TBX21/TNFRSF1B/FCGR3B/CD7/GZMM/FCMR/C1S/KIR2DL4/CCR2/RASGRP4/LAG3/CD1D/C2/CRTAM/CLEC12B/IGLL5/CD40LG,96
GO:0070661,leukocyte proliferation,99/1156,322/14924,0.307453416149068,3.96923424101098,15.6076595002192,1.31265909347476e-34,8.44696126651009e-32,6.65656335033123e-32,BTN2A2/IL20RB/SPN/CSF2RA/LAPTM5/LILRB4/FCGR3A/TREM2/CDKN2A/SLC11A1/RAC2/PTPRC/CARD11/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DPA1/TYROBP/IL12RB1/BTK/HLA-DPB1/CD276/CD180/GPR183/RASSF5/BTN3A1/DOCK2/INPP5D/PIK3CG/CD86/HLA-DMB/CD6/PSMB10/EBI3/RASAL3/TNFRSF9/HLA-G/LILRB1/CCL5/TNFRSF4/VAV1/LGALS9/IKZF3/CD37/CD38/TNFSF13B/HLA-DRB1/CSF1R/CD74/SASH3/HLA-A/MNDA/CD300A/GAPT/TGFB1/SH2D2A/ANXA1/P2RX7/ZAP70/CD3E/IL4I1/CD4/LST1/CCDC88B/IDO1/CD70/PTPN22/IL2RA/TNFAIP3/NMB/TNFSF14/IL7R/CD28/CD80/PDCD1LG2/LIPA/FCGR2B/GPNMB/PYCARD/LILRB2/CEBPB/CSF2RB/TSPAN32/TNFSF9/CD40/MYC/TNFRSF1B/FCRL3/VSIG4/CTLA4/ENPP3/CCR2/CD1D/ADA/SOX11/CRTAM/PLA2G2D/CD40LG,99
GO:0022407,regulation of cell-cell adhesion,123/1156,476/14924,0.258403361344538,3.33599633625076,15.0087085780037,1.84586828007894e-34,1.05583665620515e-31,8.32044017710435e-32,PTPRU/BTN2A2/RUNX1/HLA-DQA1/FXYD5/HLA-DRB5/IL20RB/HLA-DQA2/SPN/HLA-DQB1/CD27/LAPTM5/LILRB4/CDKN2A/PTPRC/ITGB2/CARD11/HLA-DRA/CORO1A/ABCA12/NCKAP1L/FOXP3/CDSN/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CD276/RUNX3/NOD2/CD5/FCHO1/CD86/HLA-DMB/CD6/EBI3/RASAL3/ALOX5/DUSP10/CD44/HLA-G/LILRB1/ITGA4/CCL5/VAV1/RHOH/LGALS9/CD37/LGALS1/TNFSF13B/PIK3R6/SPI1/HLA-DRB1/KLRK1/UBASH3B/CD74/SASH3/HLA-A/ADAM19/CD300A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/FERMT3/B2M/ZAP70/CD3E/AKNA/IL4I1/CD4/CCDC88B/HLA-DOA/IDO1/TNFAIP8L2/CD70/PTPN22/IL2RA/PDCD1/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/VEGFA/JAK3/NLRP3/GPNMB/GPR65/PYCARD/LILRB2/CEBPB/LAX1/SIRPB1/FUT7/TESPA1/TSPAN32/TNFSF9/MDK/NRARP/PAG1/EMILIN2/TBX21/LCK/RGCC/FOXA2/VSIG4/CCR7/HLX/CTLA4/PLAUR/WNT10B/CCR2/ICOS/LAG3/CAV1/CD1D/ADA/CRTAM/PLA2G2D/CD40LG,123
GO:0046651,lymphocyte proliferation,92/1156,284/14924,0.323943661971831,4.18212388517959,15.6883501183406,3.25037986414119e-34,1.67329555405988e-31,1.31862778909475e-31,BTN2A2/IL20RB/SPN/LAPTM5/LILRB4/FCGR3A/CDKN2A/SLC11A1/RAC2/PTPRC/CARD11/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DPA1/TYROBP/IL12RB1/BTK/HLA-DPB1/CD276/CD180/GPR183/RASSF5/BTN3A1/DOCK2/INPP5D/PIK3CG/CD86/HLA-DMB/CD6/PSMB10/EBI3/RASAL3/TNFRSF9/HLA-G/LILRB1/CCL5/TNFRSF4/VAV1/LGALS9/IKZF3/CD37/CD38/TNFSF13B/HLA-DRB1/CD74/SASH3/HLA-A/MNDA/CD300A/GAPT/TGFB1/SH2D2A/ANXA1/P2RX7/ZAP70/CD3E/IL4I1/CD4/LST1/CCDC88B/IDO1/CD70/PTPN22/IL2RA/TNFSF14/IL7R/CD28/CD80/PDCD1LG2/LIPA/FCGR2B/GPNMB/PYCARD/LILRB2/CEBPB/TSPAN32/TNFSF9/CD40/MYC/TNFRSF1B/FCRL3/VSIG4/CTLA4/CCR2/CD1D/ADA/SOX11/CRTAM/PLA2G2D/CD40LG,92
GO:1903131,mononuclear cell differentiation,124/1156,495/14924,0.250505050505051,3.23402887001503,14.6468698255717,2.70026445196059e-33,1.22486665094223e-30,9.65246814855306e-31,MMP14/INHBA/ZNF683/BTN2A2/AICDA/RUNX1/RUNX2/SPN/PRDM1/CD27/LAPTM5/LILRB4/TREM2/CDKN2A/PTPRC/TRPM2/CARD11/HLA-DRA/TNFSF8/NCKAP1L/FOXP3/EZH2/IL12RB1/DOCK10/BTK/PRR7/GPR183/DOCK2/RUNX3/INPP5D/IKZF1/CD86/BATF/TLR2/FCER1G/CD2/TNFRSF9/HLA-B/DUSP10/HLA-G/LILRB1/ITGA4/GAB3/CD8A/VAV1/RHOH/LGALS9/HCLS1/IKZF3/LGALS1/TNFSF13B/SLAMF6/PIK3R6/SPI1/HLA-DRB1/IFI16/CSF1R/CD74/SASH3/TGFB1/IL2RG/ANXA1/MMP9/CD3D/B2M/ZAP70/CD3E/NFAM1/IL4I1/CD4/HLA-DOA/ITK/EOMES/JAG2/PTPN22/IL2RA/SLAMF8/IL7R/CD28/BCL11B/CD80/VEGFA/LIPA/FCGR2B/JAK3/NLRP3/AXL/C1QC/GPR65/PREX1/LILRB2/CEBPB/DLL4/CLEC12A/FUT7/TESPA1/TNFSF9/THEMIS/MDK/NRARP/CRACR2A/TBX21/LCK/MYC/CLEC4E/LY9/CD3G/STAT4/UBD/FCRL3/CCR7/HLX/CTLA4/ITPRIPL1/WNT10B/CCR2/ICOS/LAG3/CD1D/ADA/IRF4/CRTAM/PLA2G2D/CD40LG,124
GO:0032943,mononuclear cell proliferation,92/1156,291/14924,0.316151202749141,4.08152296697939,15.3821405400533,2.85516701851336e-33,1.22486665094223e-30,9.65246814855306e-31,BTN2A2/IL20RB/SPN/LAPTM5/LILRB4/FCGR3A/CDKN2A/SLC11A1/RAC2/PTPRC/CARD11/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DPA1/TYROBP/IL12RB1/BTK/HLA-DPB1/CD276/CD180/GPR183/RASSF5/BTN3A1/DOCK2/INPP5D/PIK3CG/CD86/HLA-DMB/CD6/PSMB10/EBI3/RASAL3/TNFRSF9/HLA-G/LILRB1/CCL5/TNFRSF4/VAV1/LGALS9/IKZF3/CD37/CD38/TNFSF13B/HLA-DRB1/CD74/SASH3/HLA-A/MNDA/CD300A/GAPT/TGFB1/SH2D2A/ANXA1/P2RX7/ZAP70/CD3E/IL4I1/CD4/LST1/CCDC88B/IDO1/CD70/PTPN22/IL2RA/TNFSF14/IL7R/CD28/CD80/PDCD1LG2/LIPA/FCGR2B/GPNMB/PYCARD/LILRB2/CEBPB/TSPAN32/TNFSF9/CD40/MYC/TNFRSF1B/FCRL3/VSIG4/CTLA4/CCR2/CD1D/ADA/SOX11/CRTAM/PLA2G2D/CD40LG,92
GO:0002768,immune response-regulating cell surface receptor signaling pathway,99/1156,335/14924,0.295522388059702,3.81520425553891,15.1004924166935,5.25565316684931e-33,2.08123865407233e-30,1.64010423522569e-30,ZNF683/BTN2A2/BTN3A2/LIMK1/HLA-DQB1/LAPTM5/FCGR2A/LILRB4/FCGR3A/TREM2/PTPRC/CARD11/NCKAP1L/FOXP3/TYROBP/CLEC7A/BTK/HLA-DPB1/CD276/C3AR1/BTN3A1/ITGAM/TLR6/INPP5D/FCHO1/TLR2/FPR3/FYB1/FCER1G/MICB/BTN3A3/KCNN4/FCGR1A/KLHL6/RAB7B/HLA-G/LILRB1/MYO1G/CD8A/VAV1/CD33/CD38/FCGR2C/HLA-DRB1/KLRK1/HLA-A/MNDA/CD300A/KLRC4-KLRK1/CD247/LCP2/CD53/CD3D/ZAP70/CD3E/NFAM1/C3/LAT2/THEMIS2/ITK/HCK/CD72/PTPN22/TNFAIP3/CD28/UBASH3A/LIPA/FCGR2B/LILRB2/LAX1/SLA2/CD8B/TESPA1/THEMIS/KLRD1/SH2D1A/CD40/LCK/RGCC/CD200R1/CLEC4E/CD3G/CD14/LY96/FPR1/FCGR3B/GBP1/FCMR/FCRL3/CCR7/CTLA4/PRAM1/LILRA2/ITPRIPL1/CAV1/ADA/LILRA4/TRAT1/CLEC12B,99
GO:0070663,regulation of leukocyte proliferation,84/1156,255/14924,0.329411764705882,4.2527172806839,15.1805571372401,6.68967710120968e-32,2.30753297484272e-29,1.81843374740192e-29,BTN2A2/IL20RB/SPN/CSF2RA/LAPTM5/LILRB4/FCGR3A/CDKN2A/RAC2/PTPRC/CARD11/CORO1A/TNFSF8/NCKAP1L/FOXP3/HLA-DPA1/TYROBP/IL12RB1/BTK/HLA-DPB1/CD276/GPR183/RASSF5/INPP5D/CD86/HLA-DMB/CD6/EBI3/RASAL3/TNFRSF9/HLA-G/LILRB1/CCL5/TNFRSF4/LGALS9/IKZF3/CD37/CD38/TNFSF13B/HLA-DRB1/CSF1R/CD74/SASH3/HLA-A/MNDA/CD300A/TGFB1/ANXA1/ZAP70/CD3E/IL4I1/CD4/LST1/CCDC88B/IDO1/CD70/PTPN22/IL2RA/TNFAIP3/NMB/CD28/CD80/PDCD1LG2/FCGR2B/GPNMB/PYCARD/LILRB2/CEBPB/CSF2RB/TSPAN32/TNFSF9/CD40/TNFRSF1B/FCRL3/VSIG4/CTLA4/ENPP3/CCR2/CD1D/ADA/SOX11/CRTAM/PLA2G2D/CD40LG,84
GO:0002696,positive regulation of leukocyte activation,101/1156,357/14924,0.282913165266106,3.65241875296832,14.6981506901226,6.72358092902889e-32,2.30753297484272e-29,1.81843374740192e-29,MMP14/BTN2A2/RUNX1/HLA-DQA1/HLA-DRB5/HLA-DQA2/SPN/HLA-DQB1/CD27/LILRB4/FCGR3A/TREM2/PTPRC/CARD11/HLA-DRA/CORO1A/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/TYROBP/CLEC7A/IL12RB1/BTK/HLA-DOB/HLA-DPB1/CD276/GPR183/RUNX3/TLR6/INPP5D/NOD2/CD5/FCHO1/CD86/HLA-DMB/CD6/EBI3/CD2/RASAL3/DUSP10/HLA-G/LILRB1/CCL5/TNFRSF4/VAV1/RHOH/LGALS9/IL16/LGALS1/CD38/TNFSF13B/PIK3R6/SPI1/HLA-DRB1/KLRK1/CD74/SASH3/HLA-A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/B2M/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/CCL3/CD70/IL2RA/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/NLRP3/AXL/GPR65/PYCARD/LILRB2/SIRPB1/TESPA1/TNFSF9/MDK/CD40/TBX21/LCK/FCRL3/CCR7/HLX/WNT10B/CCR2/ICOS/CAV1/CD1D/ADA/CD40LG,101
GO:1903039,positive regulation of leukocyte cell-cell adhesion,87/1156,274/14924,0.317518248175182,4.0991715707322,15.0028458304514,1.16865059184249e-31,3.76013327925321e-29,2.96314432957957e-29,BTN2A2/RUNX1/HLA-DQA1/HLA-DRB5/HLA-DQA2/SPN/HLA-DQB1/CD27/LILRB4/PTPRC/ITGB2/CARD11/HLA-DRA/CORO1A/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/IL12RB1/HLA-DOB/HLA-DPB1/CD276/RUNX3/NOD2/CD5/FCHO1/CD86/HLA-DMB/CD6/EBI3/RASAL3/ALOX5/DUSP10/CD44/HLA-G/LILRB1/ITGA4/CCL5/VAV1/RHOH/LGALS9/LGALS1/TNFSF13B/PIK3R6/HLA-DRB1/KLRK1/CD74/SASH3/HLA-A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/B2M/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/CD70/IL2RA/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/NLRP3/GPR65/PYCARD/LILRB2/SIRPB1/FUT7/TESPA1/TNFSF9/MDK/LCK/CCR7/HLX/WNT10B/CCR2/ICOS/CAV1/CD1D/ADA/CD40LG,87
GO:0051251,positive regulation of lymphocyte activation,96/1156,329/14924,0.291793313069909,3.76706176838695,14.7057206237986,1.56510148662887e-31,4.73949556068555e-29,3.73492329997998e-29,MMP14/BTN2A2/RUNX1/HLA-DQA1/HLA-DRB5/HLA-DQA2/SPN/HLA-DQB1/CD27/LILRB4/FCGR3A/PTPRC/CARD11/HLA-DRA/CORO1A/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/TYROBP/CLEC7A/IL12RB1/BTK/HLA-DOB/HLA-DPB1/CD276/GPR183/RUNX3/INPP5D/NOD2/CD5/FCHO1/CD86/HLA-DMB/CD6/EBI3/RASAL3/DUSP10/HLA-G/LILRB1/CCL5/TNFRSF4/VAV1/RHOH/LGALS9/LGALS1/CD38/TNFSF13B/PIK3R6/SPI1/HLA-DRB1/KLRK1/CD74/SASH3/HLA-A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/B2M/ZAP70/CD3E/IL4I1/CD4/CCDC88B/HLA-DOA/CD70/IL2RA/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/NLRP3/AXL/GPR65/PYCARD/LILRB2/SIRPB1/TESPA1/TNFSF9/MDK/CD40/TBX21/LCK/FCRL3/CCR7/HLX/WNT10B/CCR2/ICOS/CAV1/CD1D/ADA/CD40LG,96
GO:0030098,lymphocyte differentiation,108/1156,406/14924,0.266009852216749,3.43419639661138,14.4090979570911,1.74742006520761e-31,4.99762138649377e-29,3.93833738673107e-29,MMP14/INHBA/ZNF683/BTN2A2/AICDA/RUNX1/RUNX2/SPN/PRDM1/CD27/LAPTM5/LILRB4/CDKN2A/PTPRC/CARD11/HLA-DRA/TNFSF8/NCKAP1L/FOXP3/EZH2/IL12RB1/DOCK10/BTK/PRR7/GPR183/DOCK2/RUNX3/INPP5D/IKZF1/CD86/BATF/FCER1G/CD2/TNFRSF9/DUSP10/HLA-G/ITGA4/CD8A/VAV1/RHOH/LGALS9/IKZF3/LGALS1/TNFSF13B/SLAMF6/PIK3R6/SPI1/HLA-DRB1/CD74/SASH3/TGFB1/IL2RG/ANXA1/CD3D/B2M/ZAP70/CD3E/NFAM1/IL4I1/CD4/HLA-DOA/ITK/EOMES/JAG2/PTPN22/IL2RA/SLAMF8/IL7R/CD28/BCL11B/CD80/LIPA/FCGR2B/JAK3/NLRP3/AXL/GPR65/PREX1/LILRB2/DLL4/FUT7/TESPA1/TNFSF9/THEMIS/MDK/NRARP/CRACR2A/TBX21/LCK/CLEC4E/LY9/CD3G/STAT4/FCRL3/CCR7/HLX/CTLA4/ITPRIPL1/WNT10B/CCR2/ICOS/LAG3/CD1D/ADA/IRF4/CRTAM/PLA2G2D/CD40LG,108
GO:0050867,positive regulation of cell activation,103/1156,375/14924,0.274666666666667,3.54595617070358,14.4684345051261,2.52914823806332e-31,6.85266059449998e-29,5.40018687506705e-29,MMP14/BTN2A2/RUNX1/HLA-DQA1/HLA-DRB5/HLA-DQA2/SPN/HLA-DQB1/CD27/LILRB4/FCGR3A/TREM2/PTPRC/CARD11/HLA-DRA/CORO1A/NCKAP1L/FOXP3/HLA-DQB2/HLA-DPA1/TYROBP/CLEC7A/IL12RB1/BTK/HLA-DOB/HLA-DPB1/CD276/GPR183/RUNX3/TLR6/INPP5D/NOD2/CD5/FCHO1/CD86/HLA-DMB/CD6/EBI3/CD2/RASAL3/DUSP10/HLA-G/LILRB1/CCL5/TNFRSF4/VAV1/RHOH/LGALS9/IL16/LGALS1/CD38/TNFSF13B/PIK3R6/SPI1/HLA-DRB1/KLRK1/CD74/SASH3/HLA-A/KLRC4-KLRK1/TGFB1/IL2RG/ANXA1/B2M/ZAP70/CD3E/PLEK/IL4I1/CD4/CCDC88B/HLA-DOA/CCL3/CD70/IL2RA/TNFSF14/SIRPG/IL7R/CD28/CD80/PDCD1LG2/NLRP3/AXL/GPR65/PYCARD/LILRB2/SIRPB1/TESPA1/TNFSF9/MDK/CD40/TBX21/LCK/FCRL3/CCR7/HLX/LILRA2/WNT10B/CCR2/ICOS/CAV1/CD1D/ADA/CD40LG,103
