ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0005201,extracellular matrix structural constituent,66/1941,162/15828,0.407407407407407,3.32222794664835,11.1068560826959,3.75635498916234e-20,3.95168544859878e-17,3.4479384742627e-17,ESM1/MFAP2/CTHRC1/AGRN/BGN/COL11A1/ECM1/ANOS1/THBS2/THSD4/LAMA1/COL27A1/ENAM/COL3A1/TGFBI/COL4A1/COL1A1/COL6A3/ASPN/CHI3L1/LUM/COL8A1/COL7A1/POSTN/COL5A1/VCAN/ACAN/COL1A2/TNC/FBN2/LAMC2/PXDN/COL10A1/LAMB3/COL5A2/COL4A2/MATN3/LAMB1/COL9A3/SPOCK1/NID2/COL9A2/PCOLCE/SPARC/EMILIN2/IGFBP7/MXRA5/COL19A1/FCGBP/COL24A1/MMRN1/COL12A1/AEBP1/COL6A1/DPT/COL22A1/NID1/TNXB/AMELX/COL6A2/COL25A1/FN1/EMILIN1/FBN1/THBS1/FGA,66
GO:0030545,signaling receptor regulator activity,117/1941,478/15828,0.244769874476987,1.99599050655423,8.26652166747741,6.31046533017769e-14,3.31930476367347e-11,2.89617145679734e-11,WNT2/SPP1/CLEC11A/SLURP2/ENDOU/ERFE/OSM/LGI1/EPGN/FAM3D/IL1RN/PSCA/STC2/IL36B/IL18/CD80/IL36A/XCL1/MDK/ULBP1/BMP8A/LEFTY2/C1QTNF12/DKK4/ARTN/LGALS3/CD40LG/BTC/PCSK9/PGF/CCL3/FAM3B/APOE/LILRB4/GDF7/IL36RN/EDN3/INHBB/ECRG4/SLURP1/UCHL1/CXCL6/CXCL8/MACC1/TAFA5/UCN2/METRNL/SPX/FBN2/PXDN/INHBA/STC1/CCL3L3/NRTN/PLAU/IL34/FST/TIMP1/GPNMB/F2RL2/CXCL9/CXCL11/NTS/TNFSF11/ADH7/CD70/CCL18/APLN/CTSG/VIP/IL12A/PTHLH/PDGFA/IL11/CCL4/NRG2/CXCL1/GDF10/SEMA6B/GREM1/IGFBP7/CXCL10/RELN/NPPC/NRG1/GREM2/TMEM35A/CCL26/PTN/CCL14/LY6G6D/LGALS1/SCGB3A1/AMELX/GPR15LG/LYPD6B/WNT7B/CXCL13/TNFRSF11B/LIF/IGF2/INS-IGF2/DPP4/EGF/FN1/EREG/FBN1/IL33/CCL27/MSTN/WNT3A/SEMA3C/IL24/IL1A/SEMA3D/GRP/CCL8,117
GO:0048018,receptor ligand activity,105/1941,433/15828,0.242494226327945,1.97743359830948,7.70990836025573,2.3608574612474e-12,8.27874016410754e-10,7.223395460378e-10,WNT2/SPP1/CLEC11A/ENDOU/ERFE/OSM/LGI1/EPGN/FAM3D/IL1RN/STC2/IL36B/IL18/CD80/IL36A/XCL1/MDK/ULBP1/BMP8A/LEFTY2/C1QTNF12/ARTN/LGALS3/CD40LG/BTC/PGF/CCL3/FAM3B/APOE/GDF7/IL36RN/EDN3/INHBB/ECRG4/SLURP1/CXCL6/CXCL8/MACC1/TAFA5/UCN2/METRNL/SPX/FBN2/INHBA/STC1/CCL3L3/NRTN/PLAU/IL34/TIMP1/GPNMB/F2RL2/CXCL9/CXCL11/NTS/TNFSF11/CD70/CCL18/APLN/CTSG/VIP/IL12A/PTHLH/PDGFA/IL11/CCL4/NRG2/CXCL1/GDF10/SEMA6B/GREM1/IGFBP7/CXCL10/RELN/NPPC/NRG1/GREM2/CCL26/PTN/CCL14/LGALS1/SCGB3A1/AMELX/GPR15LG/WNT7B/CXCL13/TNFRSF11B/LIF/IGF2/INS-IGF2/DPP4/EGF/FN1/EREG/FBN1/IL33/CCL27/MSTN/WNT3A/SEMA3C/IL24/IL1A/SEMA3D/GRP/CCL8,105
GO:0030546,signaling receptor activator activity,105/1941,443/15828,0.237020316027088,1.93279627103387,7.44470966116549,1.04663423153781e-11,2.75264802894443e-09,2.40175013131833e-09,WNT2/SPP1/CLEC11A/ENDOU/ERFE/OSM/LGI1/EPGN/FAM3D/IL1RN/STC2/IL36B/IL18/CD80/IL36A/XCL1/MDK/ULBP1/BMP8A/LEFTY2/C1QTNF12/ARTN/LGALS3/CD40LG/BTC/PGF/CCL3/FAM3B/APOE/GDF7/IL36RN/EDN3/INHBB/ECRG4/SLURP1/CXCL6/CXCL8/MACC1/TAFA5/UCN2/METRNL/SPX/FBN2/INHBA/STC1/CCL3L3/NRTN/PLAU/IL34/TIMP1/GPNMB/F2RL2/CXCL9/CXCL11/NTS/TNFSF11/CD70/CCL18/APLN/CTSG/VIP/IL12A/PTHLH/PDGFA/IL11/CCL4/NRG2/CXCL1/GDF10/SEMA6B/GREM1/IGFBP7/CXCL10/RELN/NPPC/NRG1/GREM2/CCL26/PTN/CCL14/LGALS1/SCGB3A1/AMELX/GPR15LG/WNT7B/CXCL13/TNFRSF11B/LIF/IGF2/INS-IGF2/DPP4/EGF/FN1/EREG/FBN1/IL33/CCL27/MSTN/WNT3A/SEMA3C/IL24/IL1A/SEMA3D/GRP/CCL8,105
GO:0005518,collagen binding,31/1941,71/15828,0.436619718309859,3.56044147419292,8.08379164469786,3.95674572900737e-11,8.32499301383151e-09,7.26375215935669e-09,ADGRG6/MMP12/P3H1/MMP13/P3H4/SERPINH1/LOX/LRRC15/CCBE1/TGFBI/LUM/MMP9/CTSL/SPOCK1/ITGA11/ANTXR1/CTSK/PDGFA/NID2/PCOLCE/GP6/SPARC/COCH/AEBP1/COL6A1/USH2A/NID1/TNXB/COL6A2/FN1/THBS1,31
GO:0030020,extracellular matrix structural constituent conferring tensile strength,22/1941,42/15828,0.523809523809524,4.27143593140502,7.93660683121232,3.50283441895236e-10,6.14163634789648e-08,5.35872212864291e-08,COL11A1/COL27A1/COL3A1/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/COL10A1/COL5A2/COL4A2/COL9A3/COL9A2/COL19A1/COL24A1/COL12A1/COL6A1/COL22A1/COL6A2/COL25A1,22
GO:0030414,peptidase inhibitor activity,45/1941,140/15828,0.321428571428571,2.62110841245308,7.20277980305566,4.72087003730614e-10,7.06381323607905e-08,6.16334314774958e-08,SPINK14/CAST/SPINK7/SERPINB1/SERPINH1/A2ML1/PI15/BIRC5/SPINK5/CST1/ANOS1/CSTB/CSTA/SERPINB13/SERPINB11/SERPINB6/SERPINB3/COL6A3/SLPI/SERPINB2/SERPINB12/COL7A1/PI16/CST2/SERPINE1/SPINT1/TIMP1/C4B/GPC3/C4A/SPOCK1/SERPINI2/SPINK8/FETUB/GBP5/SLCO1B3-SLCO1B7/SPINK6/CARD18/CST6/SLCO1B3/SERPINA1/SERPINB4/ITIH3/WFDC12/THBS1,45
GO:0008236,serine-type peptidase activity,50/1941,165/15828,0.303030303030303,2.4710786380029,7.10146969822893,5.37172109207533e-10,7.06381323607905e-08,6.16334314774958e-08,TMPRSS11B/MMP12/MMP13/MMP3/HTRA4/MMP11/TMPRSS11E/ENDOU/RHBDL2/TMPRSS2/KLK12/OVCH2/FAP/C2/KLK11/PCSK9/PRSS27/PRSS21/TMPRSS11A/TMPRSS11F/KLK13/MMP1/MMP2/FAM111B/TMPRSS11D/CTSC/CFD/CMA1/PRSS3/MMP9/PRSS8/PLAU/HTRA3/MMP14/GZMB/PROC/MMP10/CTSG/CTSK/PCSK2/C1S/MMP7/RELN/HTRA1/PRSS22/DPP6/PRSS23/DPP4/KLK9/TPSD1,50
GO:0004252,serine-type endopeptidase activity,46/1941,148/15828,0.310810810810811,2.53452525168136,7.01196466789425,1.04800610168042e-09,1.22500268774201e-07,1.06884364990097e-07,TMPRSS11B/MMP12/MMP13/MMP3/HTRA4/MMP11/TMPRSS11E/RHBDL2/TMPRSS2/KLK12/OVCH2/FAP/C2/KLK11/PCSK9/PRSS27/PRSS21/TMPRSS11A/TMPRSS11F/KLK13/MMP1/MMP2/TMPRSS11D/CTSC/CFD/CMA1/PRSS3/MMP9/PRSS8/PLAU/HTRA3/MMP14/GZMB/PROC/MMP10/CTSG/CTSK/PCSK2/C1S/MMP7/HTRA1/PRSS22/PRSS23/DPP4/KLK9/TPSD1,46
GO:0017171,serine hydrolase activity,50/1941,171/15828,0.292397660818713,2.38437412438877,6.80463921628361,2.10019174941693e-09,2.20940172038661e-07,1.92775495314901e-07,TMPRSS11B/MMP12/MMP13/MMP3/HTRA4/MMP11/TMPRSS11E/ENDOU/RHBDL2/TMPRSS2/KLK12/OVCH2/FAP/C2/KLK11/PCSK9/PRSS27/PRSS21/TMPRSS11A/TMPRSS11F/KLK13/MMP1/MMP2/FAM111B/TMPRSS11D/CTSC/CFD/CMA1/PRSS3/MMP9/PRSS8/PLAU/HTRA3/MMP14/GZMB/PROC/MMP10/CTSG/CTSK/PCSK2/C1S/MMP7/RELN/HTRA1/PRSS22/DPP6/PRSS23/DPP4/KLK9/TPSD1,50
GO:0004866,endopeptidase inhibitor activity,42/1941,133/15828,0.315789473684211,2.57512405433987,6.81973933677251,3.24209849531045e-09,3.10062510642418e-07,2.70536831379015e-07,SPINK14/CAST/SPINK7/SERPINB1/SERPINH1/A2ML1/BIRC5/SPINK5/CST1/ANOS1/CSTB/CSTA/SERPINB13/SERPINB11/SERPINB6/SERPINB3/COL6A3/SLPI/SERPINB2/SERPINB12/COL7A1/CST2/SERPINE1/SPINT1/TIMP1/C4B/C4A/SPOCK1/SERPINI2/SPINK8/FETUB/GBP5/SLCO1B3-SLCO1B7/SPINK6/CARD18/CST6/SLCO1B3/SERPINA1/SERPINB4/ITIH3/WFDC12/THBS1,42
GO:0005125,cytokine activity,53/1941,189/15828,0.28042328042328,2.2867283269138,6.65305517745426,3.57243665573052e-09,3.13183613485709e-07,2.73260066999738e-07,WNT2/SPP1/OSM/FAM3D/IL1RN/IL36B/IL18/IL36A/XCL1/BMP8A/LEFTY2/CD40LG/CCL3/FAM3B/GDF7/IL36RN/INHBB/SLURP1/CXCL6/CXCL8/TAFA5/INHBA/CCL3L3/IL34/TIMP1/CXCL9/CXCL11/TNFSF11/CCL18/IL12A/IL11/CCL4/CXCL1/GDF10/GREM1/CXCL10/NRG1/GREM2/CCL26/CCL14/SCGB3A1/GPR15LG/WNT7B/CXCL13/TNFRSF11B/LIF/IL33/CCL27/MSTN/WNT3A/IL24/IL1A/CCL8,53
GO:0030280,structural constituent of skin epidermis,22/1941,51/15828,0.431372549019608,3.5176531199806,6.73250399189463,3.52530811203985e-08,2.85278779528148e-06,2.48912443214474e-06,FLG/KRT13/KRT4/KRT17/KRT78/KRT79/SPRR1A/KRT24/SPRR2E/KRT32/KRT15/KRT3/KRT33A/KRT14/KRT76/KRT37/KRT7/KRT2/KRT6C/KRT36/KRT35/KRT80,22
