ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
R-HSA-1474244,Extracellular matrix organization,84/646,306/10031,0.274509803921569,4.26255084076974,15.2062730062715,7.21775349987808e-32,7.99727087786492e-29,7.08859370040658e-29,PLOD1/MFAP2/MMP12/P3H1/MMP13/MMP3/MMP11/SPP1/COLGALT1/SERPINH1/AGRN/BGN/COL11A1/LOX/ADAMTS2/ADAM12/ITGAX/LAMA1/COL27A1/P4HA3/COL3A1/ADAMTS14/COL4A1/COL1A1/COL6A3/MMP1/ASPN/LUM/COL8A1/MMP2/COL7A1/COL5A1/VCAN/ACAN/COL1A2/PLOD3/TNC/FBN2/SERPINE1/LAMC2/PXDN/COL10A1/MMP9/ADAMTS4/LAMB3/COL5A2/CTSL/COL4A2/TIMP1/MATN3/MMP14/LAMB1/COL9A3/ITGA11/LOXL2/MMP10/CTSK/PDGFA/P3H3/NID2/COL9A2/PCOLCE/SPARC/MMP7/ITGA6/EMILIN2/COL24A1/HTRA1/COL12A1/COL6A1/MMP16/COL22A1/NID1/DMP1/VCAM1/SCUBE3/COL6A2/FN1/LOXL4/EMILIN1/FBN1/ADAMTS18/ITGA5/THBS1,84
R-HSA-1474290,Collagen formation,42/646,87/10031,0.482758620689655,7.49621009928472,15.9657276953897,2.11797780475968e-27,1.17335970383686e-24,1.04003857465304e-24,PLOD1/P3H1/MMP13/MMP3/COLGALT1/SERPINH1/COL11A1/LOX/ADAMTS2/COL27A1/P4HA3/COL3A1/ADAMTS14/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/PLOD3/LAMC2/PXDN/COL10A1/MMP9/LAMB3/COL5A2/CTSL/COL4A2/COL9A3/LOXL2/P3H3/COL9A2/PCOLCE/MMP7/ITGA6/COL24A1/COL12A1/COL6A1/COL22A1/COL6A2/LOXL4,42
R-HSA-2022090,Assembly of collagen fibrils and other multimeric structures,32/646,59/10031,0.542372881355932,8.42189221808259,15.0002708569994,3.40055730555031e-23,1.25593916484991e-20,1.113235075817e-20,MMP13/MMP3/COL11A1/LOX/COL27A1/COL3A1/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/LAMC2/PXDN/COL10A1/MMP9/LAMB3/COL5A2/CTSL/COL4A2/COL9A3/LOXL2/COL9A2/PCOLCE/MMP7/ITGA6/COL24A1/COL12A1/COL6A1/COL6A2/LOXL4,32
R-HSA-1474228,Degradation of the extracellular matrix,44/646,132/10031,0.333333333333333,5.17595459236326,12.6705847517848,1.02012711753841e-20,2.82575211558141e-18,2.50468052806142e-18,MMP12/MMP13/MMP3/MMP11/SPP1/COL11A1/COL3A1/COL4A1/COL1A1/COL6A3/MMP1/COL8A1/MMP2/COL7A1/COL5A1/ACAN/COL1A2/FBN2/LAMC2/COL10A1/MMP9/ADAMTS4/LAMB3/COL5A2/CTSL/COL4A2/TIMP1/MMP14/LAMB1/COL9A3/MMP10/CTSK/COL9A2/MMP7/HTRA1/COL12A1/COL6A1/MMP16/NID1/SCUBE3/COL6A2/FN1/FBN1/ADAMTS18,44
R-HSA-1650814,Collagen biosynthesis and modifying enzymes,30/646,66/10031,0.454545454545455,7.05811989867717,12.954503350266,5.87276683025789e-19,1.30140512958515e-16,1.15353504265908e-16,PLOD1/P3H1/COLGALT1/SERPINH1/COL11A1/ADAMTS2/COL27A1/P4HA3/COL3A1/ADAMTS14/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/PLOD3/COL10A1/COL5A2/COL4A2/COL9A3/P3H3/COL9A2/PCOLCE/COL24A1/COL12A1/COL6A1/COL22A1/COL6A2,30
R-HSA-1442490,Collagen degradation,29/646,62/10031,0.467741935483871,7.26303305702587,12.9778974397635,8.50120843465254e-19,1.56988982426584e-16,1.39151359114576e-16,MMP12/MMP13/MMP3/MMP11/COL11A1/COL3A1/COL4A1/COL1A1/COL6A3/MMP1/COL8A1/MMP2/COL7A1/COL5A1/COL1A2/COL10A1/MMP9/COL5A2/CTSL/COL4A2/MMP14/COL9A3/MMP10/CTSK/COL9A2/MMP7/COL12A1/COL6A1/COL6A2,29
R-HSA-3000178,ECM proteoglycans,27/646,75/10031,0.36,5.59003095975232,10.4677511504315,3.95287469297805e-14,6.25683594259954e-12,5.54591291511056e-12,AGRN/BGN/ITGAX/LAMA1/COL3A1/COL4A1/COL1A1/COL6A3/ASPN/LUM/COL5A1/VCAN/ACAN/COL1A2/TNC/SERPINE1/COL5A2/COL4A2/MATN3/LAMB1/COL9A3/COL9A2/SPARC/COL6A1/DMP1/COL6A2/FN1,27
R-HSA-8948216,Collagen chain trimerization,20/646,43/10031,0.465116279069768,7.22226222190222,10.7273600501695,2.67024480774279e-13,3.69828905872376e-11,3.27807684950529e-11,COL11A1/COL27A1/COL3A1/COL4A1/COL1A1/COL6A3/COL8A1/COL7A1/COL5A1/COL1A2/COL10A1/COL5A2/COL4A2/COL9A3/COL9A2/COL24A1/COL12A1/COL6A1/COL22A1/COL6A2,20
R-HSA-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),32/646,113/10031,0.283185840707965,4.39727115811392,9.52811453152395,3.71161934775026e-13,4.56941581923032e-11,4.05022321807133e-11,SPP1/MELTF/STC2/EVA1A/PCSK9/APOE/MMP1/IGFBP3/MMP2/VCAN/TNC/NOTUM/TMEM132A/TIMP1/MATN3/LAMB1/C4B/GPC3/C4A/PROC/IGFBP1/IGFBP7/APOL1/DMP1/LGALS1/PRSS23/SERPINA1/IGF2/FN1/FBN1/FSTL1/CDH2,32
R-HSA-216083,Integrin cell surface interactions,27/646,83/10031,0.325301204819277,5.05123279495692,9.72317146744036,6.70882789603417e-13,7.43338130880586e-11,6.58877518631567e-11,SPP1/AGRN/ITGAX/COL3A1/COL4A1/COL1A1/COL6A3/LUM/COL8A1/COL7A1/COL5A1/COL1A2/TNC/COL10A1/COL5A2/COL4A2/COL9A3/ITGA11/COL9A2/ITGA6/COL6A1/VCAM1/COL6A2/FN1/FBN1/ITGA5/THBS1,27
R-HSA-8957275,Post-translational protein phosphorylation,29/646,100/10031,0.29,4.50308049535604,9.23641021531112,2.48314493942223e-12,2.50120417534531e-10,2.21700883108224e-10,SPP1/MELTF/STC2/EVA1A/PCSK9/APOE/IGFBP3/VCAN/TNC/NOTUM/TMEM132A/TIMP1/MATN3/LAMB1/C4B/GPC3/C4A/PROC/IGFBP1/IGFBP7/APOL1/DMP1/LGALS1/PRSS23/SERPINA1/FN1/FBN1/FSTL1/CDH2,29
R-HSA-2500257,Resolution of Sister Chromatid Cohesion,30/646,126/10031,0.238095238095238,3.69711042311661,7.99293621121266,2.39154770851217e-10,2.20819571752624e-08,1.95729299301917e-08,NDC80/CENPL/CDCA5/CENPA/BIRC5/SKA1/KIF2C/CDC20/PLK1/AURKB/CCNB2/CENPI/KIF18A/CDCA8/CDK1/MAD2L1/SPC25/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/CENPE/CCNB1/NUF2/DYNC1I1/TUBB3,30
R-HSA-375276,Peptide ligand-binding receptors,33/646,153/10031,0.215686274509804,3.34914708917623,7.68194161381278,4.89294035136035e-10,4.17029069946713e-08,3.69644805491434e-08,EEF1AKMT4-ECE2/MC1R/FPR3/C5AR1/XCL1/FPR1/CCL3/ECE1/CXCL6/CXCL8/C3AR1/ACKR3/CCL3L3/F2RL2/CXCL9/F2R/CXCL11/QRFPR/NTS/CXCR4/APLN/CCR1/CCL4/FPR2/CXCL1/CXCL10/NPW/CCRL2/F2RL3/CXCL13/CCR8/PROK2/GRP,33
R-HSA-141424,Amplification of signal from the kinetochores,25/646,95/10031,0.263157894736842,4.08627994133942,7.92941073632773,8.05427398484053e-10,5.9494237168022e-08,5.27342991428506e-08,NDC80/CENPL/CENPA/BIRC5/SKA1/KIF2C/CDC20/PLK1/AURKB/CENPI/KIF18A/CDCA8/MAD2L1/SPC25/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/CENPE/NUF2/DYNC1I1,25
R-HSA-141444,Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,25/646,95/10031,0.263157894736842,4.08627994133942,7.92941073632773,8.05427398484053e-10,5.9494237168022e-08,5.27342991428506e-08,NDC80/CENPL/CENPA/BIRC5/SKA1/KIF2C/CDC20/PLK1/AURKB/CENPI/KIF18A/CDCA8/MAD2L1/SPC25/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/CENPE/NUF2/DYNC1I1,25
R-HSA-69620,Cell Cycle Checkpoints,48/646,289/10031,0.166089965397924,2.57902235744052,7.14599528038554,8.91285624154679e-10,6.17215294727115e-08,5.47085189037049e-08,NDC80/CENPL/MCM10/PKMYT1/CDC45/UBE2C/CDC6/MCM7/CENPA/MCM2/BIRC5/CLSPN/RFC4/SKA1/ORC6/GTSE1/BRCA1/CDC25A/BLM/KIF2C/CDC20/PLK1/AURKB/CCNB2/CDC25C/CENPI/KIF18A/CDCA8/CDK1/MAD2L1/ORC1/EXO1/SPC25/BUB1/MCM8/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/CENPE/CCNB1/RNF168/NUF2/H2BC17/DYNC1I1,48
R-HSA-8874081,MET activates PTK2 signaling,14/646,30/10031,0.466666666666667,7.24633642930857,8.9890515806719,1.01932328801049e-09,6.64358943009189e-08,5.88872215302654e-08,COL11A1/LAMA1/COL27A1/COL3A1/COL1A1/COL5A1/COL1A2/LAMC2/MET/LAMB3/COL5A2/LAMB1/COL24A1/FN1,14
R-HSA-9648025,EML4 and NUDC in mitotic spindle formation,27/646,116/10031,0.232758620689655,3.61424415501228,7.42982129490806,3.26310054820305e-09,2.00861967078277e-07,1.78039345700202e-07,NDC80/CENPL/CENPA/BIRC5/SKA1/KIF2C/CDC20/PLK1/AURKB/CENPI/KIF18A/CDCA8/MAD2L1/SPC25/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/CENPE/NUF2/NEK6/DYNC1I1/TUBB3,27
R-HSA-69618,Mitotic Spindle Checkpoint,26/646,112/10031,0.232142857142857,3.6046826625387,7.27242870750813,6.78628245700135e-09,3.95747419071447e-07,3.50781248331427e-07,NDC80/CENPL/UBE2C/CENPA/BIRC5/SKA1/KIF2C/CDC20/PLK1/AURKB/CENPI/KIF18A/CDCA8/MAD2L1/SPC25/BUB1/ERCC6L/CENPM/KNL1/ZWINT/KNTC1/BUB1B/CENPF/CENPE/NUF2/DYNC1I1,26
R-HSA-8875878,MET promotes cell motility,15/646,41/10031,0.365853658536585,5.68092577210602,7.8793524201535,1.52450071448994e-08,8.44573395827426e-07,7.4861008769427e-07,COL11A1/LAMA1/COL27A1/COL3A1/COL1A1/COL5A1/COL1A2/LAMC2/MET/LAMB3/COL5A2/TNS4/LAMB1/COL24A1/FN1,15
