"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"FOXO4","FOXO4",321,-0.399404673451194,-1.51317694984977,8.3549924240883e-05,0.00247611593659344,0.00209474451206807,2139,"tags=21%, list=13%, signal=19%","DPY30/FGGY/SELENOI/CHTOP/TMEM267/WDR75/TMEM201/GEMIN2/EIPR1/PSMD7/NOTCH3/TNPO3/PTCD1/CAPRIN1/DHX34/MSMO1/FPGS/GRM8/CCDC77/CKLF/ATP5MF-PTCD1/CHAC1/CKLF-CMTM1/IGF2BP3/NME1-NME2/METTL1/NACA/DPM1/CENPS-CORT/MRPL33/POP7/EME1/PRR11/CENPS/PLOD3/MOCS3/ABHD2/MRPL51/PRMT5/COPZ1/HMGB2/TWNK/TNFRSF10A/RPS13/FASN/CKS2/PTMA/MANF/RPL37/POLR1A/KRT7/UBAP2L/NCAPD2/CDK4/GDF15/MRPL30/DSN1/NME1/NUP42/PPIA/TARS1/CCT2/ASNS/SSBP1/AJUBA/PSMA2/POLR1B/NCBP2"
"ZNF581","ZNF581",287,-0.401357899873187,-1.50841788032147,0.00010989330100166,0.00298543467721177,0.00252561797038904,3500,"tags=31%, list=22%, signal=25%","SF3A2/DDX39B/VANGL1/RPL27A/RBM12B/COPS5/DNAAF10/OSCAR/ULK4/ZNF584/RPL5/TMEM205/MYG1/POLR2I/H4C13/MEPCE/PCBP2/TBCB/RPS12/ACAD9/RPL4/RNF41/EIF2S1/RPL31/CDKN1B/CENPM/INTS14/SPRTN/TMEM62/NMT1/SLC25A39/H2BC15/RPL39L/KBTBD2/UBAP2/CFAP68/NFYA/EIF3E/SUPT4H1/LDAH/RAB3D/RBAK-RBAKDN/WDR4/KRT18/HMGB1/RPL15/CHTOP/RBM22/RPUSD4/CDIN1/MEN1/SDE2/INTS13/PIK3R3/EEF1B2/SMARCA4/ZWILCH/NOL6/MCMBP/NABP2/UBE2I/NAA25/RIOK1/RAD51/C19orf53/OIP5/SINHCAF/NUDCD1/NUSAP1/PNO1/SAP18/SNRPE/TDP1/PTMA/HSPA5/IQANK1/WDR12/PCSK9/TMEM14A/PRPF4/SEC16B/ANAPC7/HSPA8/CDK4/PSMD14/ULBP3/CCT2/CCT4/TOMM6/PHLDA1"
"DLX6","DLX6",499,-0.357397232256798,-1.40587760231051,0.000219713022555891,0.00550972656563234,0.00466111837325048,3329,"tags=29%, list=21%, signal=23%","TRMT12/RPS14/TFF2/BRD9/RNF6/H2AC16/RACK1/AP2B1/GPR19/NCDN/IL23A/RPS12/ACAD9/NDC1/S100A2/COX7A2L/NDC80/SF3B6/CBX3/HAX1/WDR74/H2BC10/STAM/CDKN1B/RHBDF1/ZNF786/PDAP1/EIF6/RPL19/TFAP2A/ALG2/ATP6V1G1/MPG/SRRT/SCARB1/RALA/KBTBD2/SEC61B/SAE1/PTCD2/ARPC5L/SNRPA/RPL32/SUPT4H1/NOP16/ALG8/RPL6/RBM39/TMEM258/MCCC2/LDLR/PSMB5/YARS2/DHFR/HMGB1/TBX6/RPS18/CLIC1/RBM22/AHSA1/TMEM267/DNAJA3/H3C8/SLC3A2/HKDC1/PSMD7/TNPO3/MTPAP/RPS27A/KPNB1/FADS2/BRCA1/CFAP92/FPGS/PPP1R13L/PSME3/G3BP1/CAPG/MSH5/BRCA2/WARS1/NAA80/CXCL2/RBM3/ZNF343/DNAAF5/CENPP/THADA/NOL8/RPL30/BUD31/EME1/EIF3B/PLOD3/POLR1G/HDGF/ENO1/HYAL3/GTF2I/AARS1/NDUFA4/S100P/PPP1R14B/NSUN2/EARS2/GART/RPN1/PSMA5/PHLDA2/XPOT/VSNL1/GTF2IRD1/PTMA/GNPDA1/NOP56/PAAF1/CMSS1/TM9SF4/KIF2C/UBFD1/MRPS15/ATP6V1E2/RPL7L1/CCNB1/SLC7A11/TDO2/TTI1/ANAPC7/TRIP13/CDK4/TRIB3/SF3B3/DSN1/SHMT2/ASF1B/CDC123/NUDT5/CKS1B/FEN1/FAF2/ATPSCKMT/SRD5A1/PSAT1"
"RFX7","RFX7",434,-0.367625206075566,-1.42775200699604,0.00023881426564652,0.00556096075719753,0.00470446147363821,2632,"tags=21%, list=16%, signal=18%","KBTBD2/ABCF2/GTF2H4/PFKM/SAE1/EIF3D/EIF3E/RAB33B/POLR3G/CENPK/NUP62/TBRG4/TMEM70/PPIB/YARS2/POLR2F/TRUB2/ACTR8/HMGB1/BCCIP/RPS18/MTBP/KNTC1/MSL3/DNAJA3/MSH2/WNK1/KIAA1958/SETD7/TNPO3/SMG7/PPP1R13L/PSME3/ZWILCH/RFC2/M6PR/LRRC23/BAZ1B/DGKH/GLS2/MYO1B/PALB2/AGTRAP/GGH/UBE2I/RBL1/MRPL33/NEMP1/POP7/PRR11/MRPL13/RPA3/POLR1G/BCAT1/CLPB/DDX55/PROX1/RAD51/RAD51AP1/LARS2/TSPAN5/GART/SLBP/WDR77/PRMT3/MRPS17/ELOC/PCLAF/PWP1/GINS4/XRCC5/FXYD5/NPM3/ANO6/CNOT9/CDCA3/FAM89A/PSMD14/SNRPA1/CCT2/SSBP1/CKS1B/GSTCD/GTF3A/AJUBA/ADAMTSL5/BOD1/GARS1/MATCAP2"
"CREB3L2","CREB3L2",126,-0.483519272688923,-1.68696658641681,0.000284311878968922,0.0061790448362579,0.00522734823086719,3421,"tags=33%, list=21%, signal=27%","DUT/COPA/FAM53C/RACK1/AP2B1/CFAP298-TCP10L/RPL8/H2AC12/HMGCS1/WRAP53/CFAP298/H2BC15/PTCD2/RPL35A/FLAD1/NOP16/RBM39/RPL27/MAGOHB/TIMM9/NOL6/NME1-NME2/PTBP1/TUBA1B/PLEKHA8/EME1/MORF4L2/RIOK1/SEC23B/FKBP14/HNRNPA1/COPZ1/RPA2/AURKB/RPL37/TM9SF4/MRPS27/SF3A3/MRPL17/DSN1/NME1/TARS1"
"MCRS1","MCRS1",33,-0.677351504347796,-1.87564308582809,0.000324569089880173,0.00661309520630852,0.00559454615451351,2500,"tags=36%, list=15%, signal=31%","MRPL52/AGBL5/HMGB1/RBL1/HNRNPC/EFTUD2/ALG3/SNRPB/RPL7L1/CDC45/CBFB/ILF2"
"IGLV5_37","IGLV5_37",480,0.363210652429272,1.40047542003057,0.000377609817232208,0.00724122355398235,0.00612593016190951,2802,"tags=27%, list=17%, signal=23%","MAML3/IQCN/GRIN2A/CNTFR/NIM1K/THRB/PTPRH/DNAJC11/SDCBP2/AQP7/SLC22A5/SEMA6A/PBX1/PDE5A/PRKCE/FRMD1/PPP2CB/ARHGAP20/KCNH1/ENTREP2/BCL2/PKD1L2/LTBP4/SMG6/FOXP2/SUCLG1/BMX/EPHA10/HRCT1/WSB2/FA2H/DAB2IP/GFI1B/CNNM2/TLX2/NTRK3/FAM120B/AHNAK/CCAR2/ZNF395/ST8SIA1/MMP15/ADCY5/PAFAH2/FGF9/CASP7/HHIP/ZBTB16/EXOC3L4/CCDC152/ENTPD8/FLT3/F2RL1/MYO1A/CCDC88C/NDUFS2/PRPH/MEF2C/NSG2/CXCL12/CALM1/PAK3/PRICKLE2/ATP6V0D2/EGFR/GSN/CDC42EP3/SMAD7/RCAN1/DMTN/CCDC159/POLD4/NUDT9/KCNN3/ENTREP1/PLAAT5/COL23A1/RYR3/TATDN3/FRMD4B/HMX3/PRCD/EXD3/NEFM/FGFR3/EFHD1/GAS7/ADAMTS1/S100A14/COL21A1/ZMIZ1/STAB1/ADSS1/LSP1/ARHGEF16/SIAE/PDZK1/IRF4/GBA1/PWWP2B/SLIT2/COL13A1/FANK1/HES5/DMAP1/NET1/SPRED2/STARD10/CYP26B1/ANXA11/ASB2/BAZ2A/GRIN1/ID2/AP5B1/DTX1/NRARP/ZNF175/CRACR2B/SYNE2/FHL1/NSG1/NUMA1/NFKBIA/PDLIM2/CNGA1/NPIPB8/SLC26A4"
"NPAT","NPAT",242,-0.411100441254843,-1.52839011090463,0.00040307391847074,0.0072608734917222,0.00614255361585798,4424,"tags=45%, list=27%, signal=33%","PRPF40B/SAYSD1/H2BC21/TIMM13/STK32C/SMAD5/H2BC13/ASPSCR1/PSTK/PRELID3B/FADD/H4C2/COPS7A/RPP38/H2AC14/H4C3/SNAP47/PRKRIP1/FAM24B/PRPF31/KDM3A/H1-4/CHCHD4/SDCBP/H2AC4/TMEM79/H3C1/GARIN5A/JMJD4/YEATS4/CD320/H4C4/H2AC11/ZC3H8/HNRNPL/H2AC16/H2AC20/VAPB/CXorf38/RPL36/ARMC6/H2AC12/SPRTN/RNF149/CBX5/H3C12/BNIP3/PHF8/MLST8/PIPOX/H2AC17/KHDRBS1/DPF2/EIF3E/SCML1/GNB1L/UBE2F/CDC7/RPL27/TOMM20/PREB/RRP1/H2BC17/LONP1/PVR/SELENOI/TMEM43/H2AC21/H2BC11/GPI/SSR3/CANX/FUT8/PITPNB/LSM7/DNAJA3/CDK12/MIS18A/INTS13/FAM220A/RTL10/SMARCA4/CKLF/NPRL3/ANGEL1/MRFAP1L2/CKLF-CMTM1/CEP250/MRPL45/POLA2/UBE2V1/UBE2F-SCLY/CGREF1/PDRG1/HNRNPA1/THOC3/H2BC18/LARS2/EEF1AKMT1/FAM98A/ZNF473/NUP93/XRCC5/SEC61G/WDR43/RANBP1/NCAPD3/GTF3A"
"TAFAZZIN","TAFAZZIN",384,-0.363082544840821,-1.39334327694772,0.000423179743382582,0.0072608734917222,0.00614255361585798,2820,"tags=25%, list=17%, signal=21%","MRPS12/RASAL1/GALK1/AFMID/CHDH/CDH24/NTHL1/SLCO3A1/POLR3A/BBC3/MYBBP1A/SAE1/IL17RB/FAM83D/MICB/PRPF6/STX16-NPEPL1/SLC39A1/POLR3G/RPL6/MYO19/PCNA/GPR3/DDN/LTBP2/FAM222A/RRP12/GAR1/HPS4/GPI/G6PC3/SMIM13/CEP85/SRCIN1/SLC4A8/STX16/NME2/DHX34/PITPNC1/NOX4/PTPN11/ASXL1/VEGFA/GSTP1/STRA6/MELTF/AMOTL2/PRR11/ANKS6/CLPB/POGK/TFR2/NDUFA4/POLR2D/EARS2/ALG3/CIMIP2C/UNC5CL/UBQLN4/EIF5A2/VPS72/ACP1/PIR/EIF2AK1/RPIA/ZBTB39/CELSR3/TK1/SAMD10/PKMYT1/STMN1/MEST/PKP4/ALDH3B1/GRHL1/PAQR4/FXYD5/SH3BP4/UBFD1/CBX2/THEM4/PARP1/ADNP/TGFBI/SLC7A6/TRIB3/CBX4/SNRPA1/SYT12/DNAH2/AJUBA/ETV4/ZNF792/ADAMTSL5/CELSR1/TBC1D4"
"ZBED4","ZBED4",266,-0.397824117722979,-1.4856111362657,0.00048558651459766,0.00791506018794185,0.00669598246445194,3158,"tags=30%, list=19%, signal=25%","H2AC11/ATG101/FAM53C/GGPS1/DXO/C12orf76/PLK2/TRMT61B/SFXN2/NDC1/SRSF2/MLEC/LRFN4/PDAP1/EIF4B/NELFA/ADAM15/IPO11/LSM1/PHF14/ARPC5L/ANKIB1/NOP16/MND1/PLAUR/YARS2/DIMT1/ZW10/PTRH2/RPL35/H2BC11/CANX/UQCC1/UTP11/INTS13/FAM220A/RPS27A/SHB/NASP/C2orf15/IER3/DFFB/SLC16A13/SPC24/POLR1E/CDC25C/NACA/BUD31/SHISA5/CENPS-CORT/MARS1/TMEM52/EFTUD2/ETS2/CENPS/RAD51/HNRNPA1/OIP5/PSMA5/NUSAP1/NANP/STXBP1/POLD2/PSMC2/SLC11A2/GEMIN5/ARL3/UBE2S/SEC61G/NIF3L1/MRPS27/CNOT9/KIF20A/CDCA3/MCM7/SNRPA1/NUP42/PPA1/NUP155/NCBP2"
