ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0097060,synaptic membrane,75/1269,360/15297,0.208333333333333,2.51132781717888,8.72770594958161,5.07711068725137e-14,2.37608780163364e-11,1.97740100450843e-11,GRIN2A/GRIK2/NRXN1/IGSF9/CNR1/GRIK4/MUSK/PRRT1/LRRTM1/ITGA8/SLC6A7/GRIA4/ANK3/VWC2/PRRT2/GRIK3/CHRNA1/KCNH1/ADRA2A/ADGRL3/LPAR1/KCNQ5/CTNNA2/P2RX1/RGS9/ABCC8/PCDH9/SYP/NTRK3/GRIA3/LRRC7/SSPN/SNAP91/SNAP25/CNR2/P2RX6/NSG2/GABRB3/LRRC4B/ANK2/P2RY1/NLGN4X/RIMS4/EPHA7/CADM3/ADORA3/PNOC/CHRNA7/ADGRB3/SLC8A3/PDE2A/CNTN1/CHRM5/GPER1/GRIN1/KCNMA1/PALM/CRYAB/LHFPL4/CNKSR2/GNAO1/TMEM108/CHRM1/DMD/DGKB/GLRA2/FXYD6/CNTN2/GRIK5/SLITRK5/LRFN5/GPM6A/TENM2/SLITRK3/KCNB1,75
GO:0016324,apical plasma membrane,74/1269,358/15297,0.206703910614525,2.49168614710039,8.5897411402806,1.14659020185922e-13,2.68302107235057e-11,2.23283355098901e-11,SLC22A4/SLC9A1/SLC36A1/ABCB11/SCNN1G/CNTFR/CEACAM1/SLC23A1/AQP8/CYP4F12/PTPRH/ABCG2/SLC26A2/IL6R/SLC22A5/SLC26A3/NHERF4/CDHR5/FRMD1/AMN/ABCB5/CDHR2/NAALADL1/SLC6A8/CA4/SLC6A19/CD36/CEACAM7/SLC4A10/SCNN1B/CA12/SLC17A4/TRPM6/PLPP1/CYBRD1/CLCA4/ABCB1/SLC2A5/NEDD4L/MYO1A/CLIC5/ANK2/ATP6V0D2/SLC9A2/FXYD1/PROM2/P2RY1/PTH1R/ATP8B1/ATP1B2/SLC9A3/SLC2A13/PDZK1/SLC17A1/GPIHBP1/PRKG2/NRG1/SLC13A2/KCNMA1/SLC15A1/SLC5A11/ITLN1/SLC28A2/MAL/SI/GP2/SLC5A12/AKAP7/PAPPA2/ECRG4/SLC26A7/KCNB1/IGSF5/KCNA5,74
GO:0045211,postsynaptic membrane,57/1269,252/15297,0.226190476190476,2.72658448722279,8.31215970412615,1.73745461150451e-12,2.71042919394703e-10,2.25564282897076e-10,GRIN2A/GRIK2/IGSF9/GRIK4/MUSK/PRRT1/LRRTM1/ITGA8/GRIA4/ANK3/VWC2/PRRT2/GRIK3/CHRNA1/KCNH1/ADRA2A/ADGRL3/LPAR1/CTNNA2/P2RX1/RGS9/NTRK3/GRIA3/LRRC7/SSPN/CNR2/P2RX6/NSG2/GABRB3/LRRC4B/ANK2/P2RY1/NLGN4X/EPHA7/CHRNA7/ADGRB3/SLC8A3/CNTN1/CHRM5/GRIN1/KCNMA1/LHFPL4/CNKSR2/GNAO1/TMEM108/CHRM1/DMD/DGKB/GLRA2/FXYD6/CNTN2/GRIK5/SLITRK5/LRFN5/TENM2/SLITRK3/KCNB1,57
GO:0034702,monoatomic ion channel complex,59/1269,282/15297,0.209219858156028,2.52201431852858,7.758941794703,2.21232798607394e-11,2.58842374370651e-09,2.15410882854568e-09,GRIN2A/GRIK2/SCNN1G/CLIC6/KCNA6/TRPM4/GRIK4/VAMP2/GRIA4/SCN9A/VWC2/TMEM37/GRIK3/CHRNA1/KCNH1/KCNQ5/SCN4B/BEST4/KCNG3/SCNN1B/ABCC8/DPP10/GRIA3/CLCNKB/RYR1/SNAP25/LRRC26/CLIC5/SCN7A/GABRB3/SCN3A/SCN11A/KCNG1/BEST2/RYR3/CHRNA7/KCNK10/KCNIP4/CACNA1A/TRPV6/KCNA3/CASQ2/GRIN1/KCNMA1/SCN2B/CNGA1/CNGA3/GLRA2/TRPC7/AKAP6/GRIK5/SLC17A8/CACNA1H/DPP6/KCNIP3/KCNMB1/KCNB1/SCN3B/KCNA5,59
GO:0034706,sodium channel complex,14/1269,22/15297,0.636363636363636,7.67096496883731,9.41740528303263,1.15723043640212e-10,1.08316768847239e-08,9.01421603092179e-09,GRIK2/SCNN1G/TRPM4/GRIK4/SCN9A/GRIK3/SCN4B/SCNN1B/SCN7A/SCN3A/SCN11A/SCN2B/GRIK5/SCN3B,14
GO:1990351,transporter complex,75/1269,421/15297,0.178147268408551,2.14745371540237,7.18050533978561,1.57567966754154e-10,1.22060354018334e-08,1.01579691828123e-08,SLC9A1/GRIN2A/GRIK2/ATP6V1G2/SCNN1G/CLIC6/KCNA6/TRPM4/CHP1/GRIK4/VAMP2/GRIA4/SCN9A/VWC2/TMEM37/GRIK3/CHRNA1/KCNH1/KCNQ5/SCN4B/COX6B2/BEST4/KCNG3/SCNN1B/ABCC8/DPP10/MT-ND6/GRIA3/CLCNKB/RYR1/SNAP25/LRRC26/CLIC5/SCN7A/GABRB3/ATP6V0D2/SCN3A/FXYD1/C7/SCN11A/KCNG1/BEST2/RYR3/ATP8B1/ATP1B2/ATP1A2/CHRNA7/KCNK10/ATP8A2/ATP8A1/KCNIP4/CACNA1A/TRPV6/KCNA3/CASQ2/GRIN1/KCNMA1/SCN2B/CNGA1/PLN/CNGA3/GLRA2/TRPC7/AKAP6/GRIK5/C8G/SLC17A8/CACNA1H/DPP6/KCNIP3/KCNMB1/KCNB1/C6/SCN3B/KCNA5,75
GO:0045177,apical part of cell,79/1269,455/15297,0.173626373626374,2.09295716104227,7.11843452088511,1.82568905582978e-10,1.22060354018334e-08,1.01579691828123e-08,SLC22A4/SLC9A1/SLC36A1/ABCB11/SCNN1G/CNTFR/CEACAM1/SLC23A1/AQP8/CYP4F12/PTPRH/ABCG2/SLC26A2/IL6R/SLC22A5/SLC26A3/ITGA8/NHERF4/CDHR5/FRMD1/AMN/ABCB5/CDHR2/NAALADL1/SLC6A8/CA4/SCIN/SLC6A19/CD36/CEACAM7/SLC4A10/SCNN1B/CA12/SLC17A4/CHL1/TRPM6/PLPP1/CA2/CYBRD1/CLCA4/ABCB1/SLC2A5/NEDD4L/MYO1A/CLIC5/ANK2/ATP6V0D2/SLC9A2/FXYD1/PROM2/P2RY1/PTH1R/ATP8B1/ATP1B2/SLC9A3/SLC2A13/PDZK1/SLC17A1/GPIHBP1/PRKG2/NRG1/SLC13A2/FABP2/KCNMA1/SLC15A1/SLC5A11/ITLN1/SLC28A2/MAL/SI/GP2/SLC5A12/AKAP7/PAPPA2/ECRG4/SLC26A7/KCNB1/IGSF5/KCNA5,79
GO:0034703,cation channel complex,43/1269,182/15297,0.236263736263736,2.84801132673473,7.54324332088197,2.18094051935951e-10,1.27585020382531e-08,1.06177367389871e-08,GRIK2/SCNN1G/KCNA6/TRPM4/GRIK4/VAMP2/SCN9A/GRIK3/KCNH1/KCNQ5/SCN4B/KCNG3/SCNN1B/ABCC8/DPP10/RYR1/SNAP25/LRRC26/SCN7A/SCN3A/SCN11A/KCNG1/RYR3/CHRNA7/KCNIP4/CACNA1A/TRPV6/KCNA3/CASQ2/KCNMA1/SCN2B/CNGA1/CNGA3/TRPC7/AKAP6/GRIK5/CACNA1H/DPP6/KCNIP3/KCNMB1/KCNB1/SCN3B/KCNA5,43
GO:1902495,transmembrane transporter complex,71/1269,400/15297,0.1775,2.13965130023641,6.94663446998869,5.79296168994459e-10,3.01234007877118e-08,2.50689570208128e-08,SLC9A1/GRIN2A/GRIK2/ATP6V1G2/SCNN1G/CLIC6/KCNA6/TRPM4/GRIK4/VAMP2/GRIA4/SCN9A/VWC2/TMEM37/GRIK3/CHRNA1/KCNH1/KCNQ5/SCN4B/COX6B2/BEST4/KCNG3/SCNN1B/ABCC8/DPP10/MT-ND6/GRIA3/CLCNKB/RYR1/SNAP25/LRRC26/CLIC5/SCN7A/GABRB3/ATP6V0D2/SCN3A/FXYD1/C7/SCN11A/KCNG1/BEST2/RYR3/ATP1B2/ATP1A2/CHRNA7/KCNK10/KCNIP4/CACNA1A/TRPV6/KCNA3/CASQ2/GRIN1/KCNMA1/SCN2B/CNGA1/PLN/CNGA3/GLRA2/TRPC7/AKAP6/GRIK5/C8G/SLC17A8/CACNA1H/DPP6/KCNIP3/KCNMB1/KCNB1/C6/SCN3B/KCNA5,71
GO:0099634,postsynaptic specialization membrane,32/1269,117/15297,0.273504273504274,3.2969226728092,7.5011057762605,9.07133856203504e-10,4.2453864470324e-08,3.5330476504768e-08,GRIN2A/GRIK2/IGSF9/GRIK4/PRRT1/LRRTM1/ITGA8/GRIA4/PRRT2/GRIK3/CHRNA1/KCNH1/ADRA2A/RGS9/GRIA3/P2RX6/NSG2/GABRB3/LRRC4B/NLGN4X/EPHA7/ADGRB3/GRIN1/CNKSR2/TMEM108/CHRM1/GLRA2/GRIK5/SLITRK5/LRFN5/SLITRK3/KCNB1,32
GO:0044306,neuron projection terminus,30/1269,109/15297,0.275229357798165,3.31771748324549,7.30374028151183,2.57300732450504e-09,1.09469766169851e-07,9.11016947432405e-08,GRIK2/NPY/KCNA6/VAMP2/SCN9A/PRRT2/GRIK3/ADRA2A/KCNQ5/SLC4A10/SCGN/SYP/PRSS12/ROR1/PRKCB/CALB2/NTRK2/SNCG/PNOC/PACSIN1/SLC8A3/GPER1/GRIN1/UCN3/CHRM1/DMD/UCHL1/SLC17A8/CRHBP/SLC18A1,30
GO:0009897,external side of plasma membrane,61/1269,336/15297,0.181547619047619,2.18844281211302,6.62505496013436,3.95253648938774e-09,1.54148923086122e-07,1.28284079041532e-07,SCNN1G/CNTFR/EFNA5/GFRA3/ANPEP/ABCG2/KIT/IL6R/GFRA1/CD1D/CD163L1/IL11RA/GFRA2/CA4/P2RX1/SLAMF9/ACKR2/CD36/NCAM1/SCNN1B/SCUBE1/TNFRSF13C/MS4A2/CLEC4F/BTNL8/FCRL2/BTNL3/LIFR/HHLA2/ABCB1/ASTN1/CXCL12/FCER1A/LY9/CD209/CD79A/ATP1B2/CCR10/FCRLA/GHR/KLRC4/FCER2/FOLR2/TCN2/GPIHBP1/CLEC10A/CD22/KLRC3/CD79B/FCRL3/KLRC2/CD19/HLA-G/CLEC17A/GP2/MS4A1/FCRL4/FCRL1/KLRC1/SLC2A4/CCR9,61
GO:0043679,axon terminus,27/1269,93/15297,0.290322580645161,3.49965682910089,7.27218307208269,4.48899947472896e-09,1.61603981090243e-07,1.34488243372447e-07,GRIK2/NPY/KCNA6/SCN9A/PRRT2/GRIK3/ADRA2A/KCNQ5/SLC4A10/SCGN/SYP/PRSS12/ROR1/PRKCB/CALB2/NTRK2/SNCG/PNOC/PACSIN1/SLC8A3/GPER1/GRIN1/UCN3/CHRM1/SLC17A8/CRHBP/SLC18A1,27
GO:0043235,receptor complex,62/1269,349/15297,0.177650429799427,2.14146463722761,6.48792021205508,7.00648186582553e-09,2.34216679514739e-07,1.94917164688379e-07,TRPV3/GRIN2A/GRIK2/CNTFR/CEACAM1/GFRA3/FGFR2/LTK/KIT/IL6R/GRIK4/MUSK/ITGA8/GRIA4/GFRA1/VWC2/AMN/GRIK3/CHRNA1/ADRA2A/IL11RA/GFRA2/NR1H4/VIPR1/BMP2/CD36/ACVRL1/NTRK3/GRIA3/LIFR/FLT3/P2RX6/NR3C2/TSHR/GABRB3/ROR1/NTRK2/CR2/PTH1R/CD79A/GHR/CHRNA7/VLDLR/PIGR/ACVR1C/KLRC3/GRIN1/CD79B/TLR10/ITLN1/GP9/KLRC2/MTNR1A/ROS1/TRAT1/GRIK5/SLITRK5/KLRC1/ADGRV1/ADCYAP1R1/LRP1B/ALK,62
GO:0044297,cell body,77/1269,490/15297,0.157142857142857,1.89425869638636,6.05131198079454,3.04479992351353e-08,9.49977576136221e-07,7.90579629263162e-07,MYOT/SLC22A4/GRIK2/TTLL7/NRXN1/NPY/TRPM4/RNF112/ITGA8/GRIA4/GFRA1/BRINP3/DNER/GRIK3/L1CAM/STMN2/KCNH1/NEURL1/ADRA2A/LPAR1/CTNND2/RDH5/UNC5C/NEGR1/PDE1C/P2RX4/PRKAR2B/SLC4A10/PDE9A/P2RY12/HMCN2/SYNPO/CNR2/KIF5C/KLHL14/ASTN1/P2RX6/TMEM100/RIC3/PRPH/CADM2/PITPNM3/KCNN3/P2RY1/SCN11A/EPHA7/KIF5A/SNCG/SST/PNOC/ATP1B2/SLC2A13/GHR/ATP1A2/SLC8A3/S100B/CACNA1A/CD22/ELAVL4/GAP43/SPTBN4/CRYAB/PRKAA2/CPNE5/CNKSR2/GNAO1/CNGA3/CNTN2/UCHL1/SLC17A8/NGFR/TUBB4A/GPM6A/CRHBP/SYT5/KCNB1/ACTG2,77
GO:0031526,brush border membrane,18/1269,50/15297,0.36,4.33957446808511,7.11386802572228,4.25668664241154e-08,1.24508084290537e-06,1.0361671432186e-06,AQP8/ABCG2/SLC22A5/SLC26A3/CDHR5/AMN/CDHR2/CA4/SLC6A19/CD36/SLC17A4/TRPM6/CYBRD1/ABCB1/SLC9A3/PDZK1/ITLN1/SLC28A2,18
GO:0098839,postsynaptic density membrane,26/1269,99/15297,0.262626262626263,3.16579506650429,6.50224915974822,8.33450054799254e-08,2.29443897438853e-06,1.90945213793018e-06,GRIN2A/GRIK2/IGSF9/GRIK4/PRRT1/ITGA8/GRIA4/PRRT2/GRIK3/KCNH1/ADRA2A/RGS9/GRIA3/NSG2/LRRC4B/NLGN4X/EPHA7/ADGRB3/GRIN1/CNKSR2/TMEM108/CHRM1/GRIK5/SLITRK5/LRFN5/SLITRK3,26
GO:0098797,plasma membrane protein complex,75/1269,490/15297,0.153061224489796,1.84505717180489,5.71837278056502,1.38708253772217e-07,3.4804439444065e-06,2.89645582417995e-06,GRIN2A/GRIK2/CNTFR/CEACAM1/KCNA6/IL6R/GRIK4/VAMP2/GNA11/ITGA8/GRIA4/GFRA1/SCN9A/VWC2/GRIK3/CHRNA1/KCNH1/CDH19/KCNQ5/SCN4B/CTNNA2/BMP2/GNG7/KCNG3/ABCC8/ACVRL1/AHNAK/DPP10/MS4A2/GRIA3/SSPN/RYR1/SNAP25/LRRC26/SCN7A/ATP6V0D2/SCN3A/FXYD1/C7/SCN11A/KCNG1/CD79A/ATP1B2/PGM5/ATP1A2/CHRNA7/KCNIP4/CDH23/ACVR1C/CACNA1A/KCNA3/IGF1/GRIN1/KCNMA1/CD79B/SCN2B/GNG8/GP9/GNAO1/HLA-G/SGCA/LILRA4/DMD/GJA9/TRAT1/GRIK5/C8G/CACNA1H/DPP6/KCNIP3/KCNMB1/KCNB1/C6/SCN3B/KCNA5,75
