"Cell_Type","Spearman_r","P_Value","cancer"
"CD56bright_natural_killer_cell",-0.533415713024359,0,"pancreatic"
"Natural_killer_T_cell",-0.405556950191306,2.88120610445281e-08,"pancreatic"
"Type_17_T_helper_cell",-0.232159242395388,0.00192056267446963,"pancreatic"
"Activated_B_cell",-0.157582538390956,0.0362863867020702,"pancreatic"
"CD56dim_natural_killer_cell",-0.142602707709354,0.0583541188313218,"pancreatic"
"Central_memory_CD8_T_cell",-0.0930320631568013,0.217867603267042,"pancreatic"
"B_cell",-0.0705839580339676,0.350182980468447,"pancreatic"
"Mast_cell",-0.0614190370665328,0.416366591428962,"pancreatic"
"Plasmacytoid_dendritic_cell",-0.0573051020584824,0.448312576833654,"pancreatic"
"Central_memory_CD4_T_cell",-0.0243438479250705,0.747503621206469,"pancreatic"
"Effector_memory_CD8_T_cell",-0.0205220650612005,0.786098053376323,"pancreatic"
"Activated_dendritic_cell",-0.00955445715967521,0.899469684934444,"pancreatic"
"Activated_CD8_T_cell",-0.00723455272588771,0.923796336307305,"pancreatic"
"Effector_memory_CD4_T_cell",0.0117272034763941,0.876770492087568,"pancreatic"
"Macrophage",0.0371682450096086,0.622996047733716,"pancreatic"
"Activated_CD4_T_cell",0.070655373002545,0.349694787929604,"pancreatic"
"T_follicular_helper_cell",0.10859186994685,0.150101426566309,"pancreatic"
"Type_2_T_helper_cell",0.108736863973962,0.149555410750922,"pancreatic"
"MDSC",0.118683021415834,0.115579058062061,"pancreatic"
"Type_1_T_helper_cell",0.196897560637801,0.00871117244707093,"pancreatic"
"Monocyte",0.202273160090719,0.0070190060713987,"pancreatic"
"Neutrophil",0.226019719187687,0.00254016514569092,"pancreatic"
"Regulatory_T_cell",0.232399456380603,0.00189939502779577,"pancreatic"
